pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1789787461.23,342,0,0,0,0,1,change,0,19.03,0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496357,126.958199,0.222,0.0,1,37.496464,126.958031,0.051,0.0,-14.84,11.91,gps
1789787461.439,344,0,0,0,0,1,heartbeat,0,18.9,0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958191,0.141,0.0,1,37.496464,126.958031,0.051,0.0,-14.48,12.13,gps
1789787461.649,346,0,0,0,0,1,heartbeat,0,18.9,0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958191,0.099,0.0,1,37.496464,126.958031,0.051,0.0,-14.48,12.13,gps
1789787461.855,348,0,0,0,0,1,heartbeat,0,19.03,0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.073,0.0,1,37.496464,126.958031,0.051,0.0,-14.6,12.21,gps
1789787462.063,350,0,0,0,0,1,heartbeat,0,19.03,0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.071,0.0,1,37.496464,126.958031,0.051,0.0,-14.6,12.21,gps
1789787462.273,352,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.08,0.0,1,37.496464,126.958031,0.069,0.0,-14.6,12.21,gps
1789787462.477,354,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.077,0.0,1,37.496464,126.958031,0.069,0.0,-14.6,12.21,gps
1789787462.685,356,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.065,0.0,1,37.496464,126.958031,0.069,0.0,-14.6,12.21,gps
1789787462.893,358,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.053,0.0,1,37.496464,126.958031,0.069,0.0,-14.6,12.21,gps
1789787463.175,361,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.033,0.0,1,37.496464,126.958031,0.069,0.0,-14.6,12.21,gps
1789787463.388,363,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.057,0.0,1,37.496464,126.958031,0.138,0.0,-14.6,12.21,gps
1789787463.599,365,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.053,0.0,1,37.496464,126.958031,0.138,0.0,-14.6,12.21,gps
1789787463.816,367,0,0,0,0,1,heartbeat,0,19.03,-0.0,9999.0,25.0,0,ttc_capped,0.0001,table,1,37.496353,126.958199,0.035,0.0,1,37.496464,126.958031,0.138,0.0,-14.6,12.21,gps
