ts_ms,timestep_time,vehicle_id,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,ttc_valid,risk_score,zone_base_risk,dx,dy,dvx,dvy,dcpa_m,phys_min_dist_3s,phys_t_cpa,phys_score_3s,onnx_risk_level,onnx_confidence
28000,28.0,1,3749.31,1378.56,3635.3,1417.27,1.21,1.35,120.40242605529154,1.7145932335856031,30.0,1.0,3.0,0.0,-114.00999999999976,38.710000000000036,0.9900000000002365,-2.369999999999891,90.27999949950238,115.4488700680947,3.0,28.0,0,0.89588016
29000,29.0,1,3749.23,1379.74,3637.06,1414.89,1.13,2.97,117.54842151215823,2.854004543133314,30.0,1.0,3.0,0.0,-112.17000000000007,35.15000000000009,1.8399999999996908,-3.5599999999999454,83.50795292631521,109.42122006265615,3.0,28.0,0,0.8043551
30000,30.0,1,3749.48,1380.8,3640.26,1411.14,1.09,4.93,113.35574092210753,4.192680590050699,27.036579221203397,1.0,3.0,0.0,-109.2199999999998,30.340000000000146,2.950000000000273,-4.809999999999945,77.24231582842934,101.62315188971363,3.0,28.0,0,0.73772085
31000,31.0,1,3749.75,1381.99,3643.11,1409.59,1.22,3.38,110.15375436180088,3.2019865603066506,30.0,1.0,3.0,0.0,-106.63999999999987,27.59999999999991,2.5799999999999272,-2.7400000000002365,58.71796771205943,100.7809227979184,3.0,28.0,0,0.8920291
32000,32.0,1,3750.0,1383.03,3643.54,1409.6,1.07,0.43,109.72555080745781,0.4282035543430709,30.0,1.0,3.0,0.0,-106.46000000000004,26.569999999999936,0.1799999999998363,-1.0299999999999727,100.29668141099852,108.49127522524617,3.0,28.0,0,0.9745446
33000,33.0,1,3750.24,1384.07,3643.7,1409.61,1.07,0.16,109.55849214004358,0.16705866741422426,30.0,1.0,3.0,0.0,-106.53999999999996,25.539999999999964,-0.07999999999992724,-1.0299999999999727,108.19782220037726,109.11448528953407,3.0,28.0,0,0.9754274
34000,34.0,1,3750.48,1385.11,3643.8,1409.66,1.06,0.12,109.4683739716635,0.09011816838008713,30.0,0.0,3.0,0.0,-106.67999999999984,24.550000000000182,-0.13999999999987267,-0.9899999999997817,109.06656121136356,109.252489216493,3.0,3.0,0,0.97620684
35000,35.0,1,3750.75,1386.24,3643.81,1409.66,1.16,0.01,109.47447191012165,-0.006097938458154317,30.0,0.0,0.0,0.0,-106.94000000000005,23.420000000000073,-0.2600000000002183,-1.1300000000001091,109.47447191012165,109.47447191012165,0.0,0.0,0,0.9848406
36000,36.0,1,3750.99,1387.27,3643.81,1409.66,1.06,0.0,109.49367333321122,-0.019201423089569403,30.0,0.0,0.0,0.0,-107.17999999999984,22.3900000000001,-0.23999999999978172,-1.0299999999999727,109.49367333321122,109.49367333321122,0.0,0.0,0,0.9852138
37000,37.0,1,3751.25,1388.38,3643.81,1409.66,1.14,0.0,109.52712905942532,-0.03345572621410042,30.0,0.0,0.0,0.0,-107.44000000000005,21.279999999999973,-0.2600000000002183,-1.1100000000001273,109.52712905942532,109.52712905942532,0.0,0.0,0,0.9855451
38000,38.0,1,3751.49,1389.4,3643.81,1409.66,1.05,0.0,109.56938441006213,-0.04225535063680752,30.0,0.0,0.0,0.0,-107.67999999999984,20.25999999999999,-0.23999999999978172,-1.0199999999999818,109.56938441006213,109.56938441006213,0.0,0.0,0,0.98570377
39000,39.0,1,3751.74,1390.49,3643.81,1409.66,1.12,0.0,109.61922185456329,-0.049837444501164896,30.0,0.0,0.0,0.0,-107.92999999999984,19.170000000000073,-0.25,-1.0899999999999181,109.61922185456329,109.61922185456329,0.0,0.0,0,0.98583984
40000,40.0,1,3752.0,1391.61,3643.81,1409.66,1.15,0.0,109.68536183101197,-0.06613997644868164,30.0,0.0,0.0,0.0,-108.19000000000005,18.050000000000182,-0.2600000000002183,-1.1199999999998909,109.68536183101197,109.68536183101197,0.0,0.0,0,0.98941165
41000,41.0,1,3752.72,1391.92,3643.81,1409.66,1.27,0.0,110.34534743250379,-0.6599856014918117,30.0,0.0,0.0,0.0,-108.90999999999985,17.74000000000001,-0.7199999999997999,-0.3100000000001728,110.34534743250379,110.34534743250379,0.0,0.0,0,0.9914921
42000,42.0,1,3752.35,1393.1,3643.81,1409.66,1.12,0.0,109.79601632117624,0.5493311113275468,30.0,1.0,3.0,0.0,-108.53999999999996,16.560000000000173,0.36999999999989086,-1.1799999999998363,98.6132927544752,108.21610462403495,3.0,28.0,0,0.9872365
43000,43.0,1,3751.71,1394.0,3643.81,1409.66,1.1,0.0,109.03048014202277,0.7655361791534716,30.0,1.0,3.0,0.0,-107.90000000000009,15.660000000000082,0.6399999999998727,-0.900000000000091,78.85833702658171,106.76948065809863,3.0,28.0,0,0.9879033
44000,44.0,1,3750.56,1393.93,3643.81,1409.66,1.29,0.0,107.90271266284273,1.1277674791800365,30.0,1.0,3.0,0.0,-106.75,15.730000000000018,1.150000000000091,0.06999999999993634,22.186761958594676,104.52259851343123,3.0,28.0,0,0.9864753
45000,45.0,1,3749.42,1394.17,3643.81,1409.66,1.16,0.0,106.73992786207056,1.1627848007721724,30.0,1.0,3.0,0.0,-105.61000000000013,15.490000000000009,1.1399999999998727,-0.2400000000000091,6.599030734232288,103.25187165373858,3.0,28.0,0,0.9845114
46000,46.0,1,3748.3,1394.4,3643.81,1409.66,1.15,0.0,105.59842659812716,1.1415012639433968,30.0,1.0,3.0,0.0,-104.49000000000024,15.259999999999991,1.1199999999998909,-0.2300000000000182,6.071076389154976,102.17417384055578,3.0,28.0,0,0.9840688
47000,47.0,1,3747.27,1394.61,3643.81,1409.66,1.05,0.0,104.54890769395926,1.049518904167897,30.0,1.0,3.0,0.0,-103.46000000000004,15.050000000000182,1.0300000000002,-0.209999999999809,5.921956232499558,101.40055867696148,3.0,28.0,0,0.98363966
48000,48.0,1,3549.36,1513.19,3643.81,1409.66,1.13,0.0,140.14015627221187,1.1070090090779274,30.0,1.0,3.0,0.0,94.44999999999982,-103.52999999999997,-0.5900000000001455,0.9600000000000364,26.25935964640513,136.82106891849608,3.0,28.0,0,0.9897059
49000,49.0,1,3550.06,1512.11,3643.81,1409.66,1.2,0.0,138.87067725045472,1.2694790217571494,30.0,1.0,3.0,0.0,93.75,-102.44999999999982,-0.6999999999998181,1.0800000000001546,22.948503201826735,135.0642313864036,3.0,28.0,0,0.98925626
50000,50.0,1,3551.16,1511.38,3643.81,1409.66,1.22,0.0,137.58990115557182,1.2807760948828957,30.0,1.0,3.0,0.0,92.65000000000009,-101.72000000000003,-1.099999999999909,0.7299999999997908,33.523599461270116,133.7521715711569,3.0,28.0,0,0.98973644
51000,51.0,1,3551.98,1511.32,3643.81,1409.66,0.51,0.0,136.99454186207552,0.5953592934963012,30.0,1.0,3.0,0.0,91.82999999999993,-101.65999999999985,-0.8200000000001637,0.060000000000172804,94.68759347414692,135.22273218656605,3.0,28.0,0,0.9904265
52000,52.0,1,3553.02,1510.53,3643.81,1409.66,1.23,0.0,135.71138861569418,1.283153246381346,30.0,1.0,3.0,0.0,90.78999999999996,-100.86999999999989,-1.0399999999999636,0.7899999999999636,25.4058786397044,131.86462338322593,3.0,28.0,0,0.9893339
53000,53.0,1,3553.6,1509.67,3643.81,1409.66,1.05,0.0,134.6842388700326,1.0271497456615748,30.0,1.0,3.0,0.0,90.21000000000004,-100.00999999999999,-0.5799999999999272,0.8599999999999,18.87083849690391,131.60374538743227,3.0,28.0,0,0.9889487
54000,54.0,1,3554.17,1508.84,3643.81,1409.66,1.0,0.0,133.68620721675046,0.9980316532821405,30.0,1.0,3.0,0.0,89.63999999999987,-99.17999999999984,-0.5700000000001637,0.8300000000001546,17.74656824610012,130.69292635793175,3.0,28.0,0,0.9889159
55000,55.0,1,3554.75,1507.98,3643.81,1409.66,1.04,0.0,132.65936077035792,1.0268464463925397,30.0,1.0,3.0,0.0,89.05999999999995,-98.31999999999994,-0.5799999999999272,0.8599999999999,18.862354968143784,129.5798209599013,3.0,28.0,0,0.9891943
56000,56.0,1,3555.38,1507.05,3643.81,1409.66,1.12,0.0,131.54724246444675,1.1121183059111672,30.0,1.0,3.0,0.0,88.42999999999984,-97.38999999999987,-0.6300000000001091,0.9300000000000637,18.591848941817705,128.21205715532318,3.0,28.0,0,0.98932475
57000,57.0,1,3555.99,1506.15,3643.81,1409.66,1.09,0.0,130.47096420276824,1.0762782616785103,30.0,1.0,3.0,0.0,87.82000000000016,-96.49000000000001,-0.6099999999996726,0.8999999999998636,18.559859484155155,127.24324815093442,3.0,28.0,0,0.9893527
58000,58.0,1,3556.61,1505.22,3643.81,1409.66,1.12,0.0,129.36596770402932,1.1049964987389274,30.0,1.0,3.0,0.0,87.19999999999982,-95.55999999999995,-0.6200000000003456,0.9300000000000637,19.54763491494809,126.05232445298161,3.0,28.0,0,0.9893891
59000,59.0,1,3557.24,1504.3,3643.81,1409.66,1.12,0.0,128.26182011806944,1.104147585959879,30.0,1.0,3.0,0.0,86.57000000000016,-94.63999999999987,-0.6299999999996544,0.9200000000000728,17.955691585808516,124.95053741381082,3.0,28.0,0,0.98925704
60000,60.0,1,3552.96,1386.86,3643.81,1409.66,0.0,0.0,93.66729685434503,0.0,30.0,0.0,5.0,0.0,90.84999999999991,22.800000000000182,0.0,0.0,93.66729685434503,93.66729685434503,0.0,5.0,0,0.990666
61000,61.0,1,3554.24,1388.11,3643.81,1409.66,1.51,0.0,92.12593228836296,1.5413645659820645,30.0,1.0,8.0,0.0,89.57000000000016,21.550000000000182,-1.2799999999997453,-1.25,47.16238371592602,87.55839708446109,3.0,33.0,0,0.98938143
62000,62.0,1,3554.61,1389.73,3643.81,1409.66,1.68,0.0,91.39937034794042,0.7265619404225419,30.0,1.0,8.0,0.0,89.19999999999982,19.930000000000064,-0.3700000000003456,-1.6200000000001182,82.52306748291511,89.36975439151534,3.0,33.0,0,0.9875503
63000,63.0,1,3554.92,1391.17,3643.81,1409.66,1.47,0.0,90.79268803158092,0.6066823163594961,30.0,1.0,8.0,0.0,88.88999999999987,18.49000000000001,-0.30999999999994543,-1.4400000000000546,83.0078188185704,89.09405423483658,3.0,33.0,0,0.98758566
64000,64.0,1,3555.23,1392.59,3643.81,1409.66,1.46,0.0,90.20976277543353,0.5829252561473908,30.0,1.0,8.0,0.0,88.57999999999993,17.070000000000164,-0.30999999999994543,-1.4199999999998454,82.90094742711021,88.58114133380779,3.0,33.0,0,0.9879341
65000,65.0,1,3555.52,1393.96,3643.81,1409.66,1.42,0.0,89.6750472539602,0.5347155214733306,30.0,1.0,8.0,0.0,88.28999999999996,15.700000000000045,-0.2899999999999636,-1.3700000000001182,83.12472598825433,88.18494486021979,3.0,33.0,0,0.9883936
66000,66.0,1,3555.82,1395.5,3643.81,1409.66,1.57,0.0,89.12208312197356,0.5529641319866414,30.0,1.0,8.0,0.0,87.98999999999978,14.160000000000082,-0.3000000000001819,-1.5399999999999636,83.65894985563905,87.61095650659152,3.0,33.0,0,0.9889126
67000,67.0,1,3555.77,1396.83,3643.81,1409.66,1.54,0.0,88.96994155331338,0.15214156866018413,30.0,1.0,8.0,0.0,88.03999999999996,12.830000000000155,0.0500000000001819,-1.3299999999999272,88.4598424096679,88.63194514394962,3.0,33.0,0,0.9893727
