timestep_time;person_angle;person_edge;person_id;person_pos;person_slope;person_speed;person_type;person_x;person_y
47.0;281.62;-220064933#3;1.0;5.63;0.0;1.05;DEFAULT_PEDTYPE;3747.27;1394.61
48.0;148.04;:11413637678_w0;2.0;2.99;0.0;1.13;DEFAULT_PEDTYPE;3549.36;1513.19
49.0;145.9;:11413637678_w0;2.0;1.78;0.0;1.2;DEFAULT_PEDTYPE;3550.06;1512.11
50.0;123.79;:11413637678_w0;2.0;0.56;0.0;1.22;DEFAULT_PEDTYPE;3551.16;1511.38
51.0;94.19;:11413637678_w0;2.0;0.05;0.0;0.51;DEFAULT_PEDTYPE;3551.98;1511.32
52.0;139.32;612099146#6;2.0;40.4;0.0;1.23;DEFAULT_PEDTYPE;3553.02;1510.53
53.0;145.9;612099146#6;2.0;39.35;0.0;1.05;DEFAULT_PEDTYPE;3553.6;1509.67
54.0;145.9;612099146#6;2.0;38.35;0.0;1.0;DEFAULT_PEDTYPE;3554.17;1508.84
55.0;145.9;612099146#6;2.0;37.32;0.0;1.04;DEFAULT_PEDTYPE;3554.75;1507.98
56.0;145.9;612099146#6;2.0;36.19;0.0;1.12;DEFAULT_PEDTYPE;3555.38;1507.05
57.0;145.9;612099146#6;2.0;35.11;0.0;1.09;DEFAULT_PEDTYPE;3555.99;1506.15
58.0;145.9;612099146#6;2.0;33.99;0.0;1.12;DEFAULT_PEDTYPE;3556.61;1505.22
59.0;145.9;612099146#6;2.0;32.87;0.0;1.12;DEFAULT_PEDTYPE;3557.24;1504.3
60.0;13.27;278148191#3;3.0;0.0;0.0;0.0;DEFAULT_PEDTYPE;3552.96;1386.86
60.0;145.9;612099146#6;2.0;31.85;0.0;1.02;DEFAULT_PEDTYPE;3557.81;1503.45
61.0;36.26;:13314251024_w0;3.0;7.98;0.0;1.51;DEFAULT_PEDTYPE;3554.24;1388.11
61.0;145.9;612099146#6;2.0;30.68;0.0;1.17;DEFAULT_PEDTYPE;3558.47;1502.48
62.0;12.25;:13314251024_w0;3.0;6.3;0.0;1.68;DEFAULT_PEDTYPE;3554.61;1389.73
62.0;145.9;612099146#6;2.0;29.45;0.0;1.23;DEFAULT_PEDTYPE;3559.16;1501.46
63.0;12.25;:13314251024_w0;3.0;4.82;0.0;1.47;DEFAULT_PEDTYPE;3554.92;1391.17
63.0;145.9;612099146#6;2.0;28.4;0.0;1.05;DEFAULT_PEDTYPE;3559.75;1500.59
64.0;12.25;:13314251024_w0;3.0;3.37;0.0;1.46;DEFAULT_PEDTYPE;3555.23;1392.59
64.0;145.9;612099146#6;2.0;27.4;0.0;1.0;DEFAULT_PEDTYPE;3560.31;1499.76
65.0;10.92;:13314251024_w0;3.0;1.95;0.0;1.42;DEFAULT_PEDTYPE;3555.52;1393.96
65.0;145.9;612099146#6;2.0;26.22;0.0;1.18;DEFAULT_PEDTYPE;3560.97;1498.79
66.0;10.92;:13314251024_w0;3.0;0.38;0.0;1.57;DEFAULT_PEDTYPE;3555.82;1395.5
66.0;145.9;612099146#6;2.0;25.14;0.0;1.07;DEFAULT_PEDTYPE;3561.57;1497.9
67.0;0.1;278148191#2;3.0;42.06;0.0;1.54;DEFAULT_PEDTYPE;3555.77;1396.83
67.0;145.9;612099146#6;2.0;24.09;0.0;1.06;DEFAULT_PEDTYPE;3562.16;1497.02
68.0;0.1;278148191#2;3.0;40.38;0.0;1.67;DEFAULT_PEDTYPE;3555.77;1398.51
68.0;145.9;612099146#6;2.0;23.01;0.0;1.07;DEFAULT_PEDTYPE;3562.77;1496.13
69.0;0.1;278148191#2;3.0;38.89;0.0;1.49;DEFAULT_PEDTYPE;3555.78;1400.0
