1786177089.158 RX {"type":"cane","node_id":4125577512,"seq":3311,"gps_valid":1,"heading_valid":0,"lat":37.496151,"lng":126.955643,"speed_mps":0.359,"heading_deg":0.00,"node_risk":0,"tx_ms":350797,"rx_ms":53540,"recv_count":94,"lost_count":418,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177089.262 RX {"type":"cane","node_id":4125577512,"seq":3312,"gps_valid":1,"heading_valid":0,"lat":37.496151,"lng":126.955643,"speed_mps":0.359,"heading_deg":0.00,"node_risk":0,"tx_ms":350900,"rx_ms":53643,"recv_count":95,"lost_count":418,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
1786177090.912 RX {"type":"cane","node_id":4125577512,"seq":3328,"gps_valid":1,"heading_valid":0,"lat":37.496140,"lng":126.955658,"speed_mps":0.375,"heading_deg":0.00,"node_risk":0,"tx_ms":352550,"rx_ms":55293,"recv_count":96,"lost_count":433,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177091.014 RX {"type":"cane","node_id":4125577512,"seq":3329,"gps_valid":1,"heading_valid":0,"lat":37.496140,"lng":126.955658,"speed_mps":0.375,"heading_deg":0.00,"node_risk":0,"tx_ms":352653,"rx_ms":55396,"recv_count":97,"lost_count":433,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177091.526 RX {"type":"cane","node_id":4125577512,"seq":3334,"gps_valid":1,"heading_valid":0,"lat":37.496140,"lng":126.955658,"speed_mps":0.343,"heading_deg":0.00,"node_risk":0,"tx_ms":353165,"rx_ms":55908,"recv_count":98,"lost_count":437,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177091.630 RX {"type":"cane","node_id":4125577512,"seq":3335,"gps_valid":1,"heading_valid":0,"lat":37.496140,"lng":126.955658,"speed_mps":0.343,"heading_deg":0.00,"node_risk":0,"tx_ms":353268,"rx_ms":56010,"recv_count":99,"lost_count":437,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177091.732 RX {"type":"cane","node_id":4125577512,"seq":3336,"gps_valid":1,"heading_valid":0,"lat":37.496140,"lng":126.955658,"speed_mps":0.327,"heading_deg":0.00,"node_risk":0,"tx_ms":353371,"rx_ms":56114,"recv_count":100,"lost_count":437,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177093.381 RX {"type":"cane","node_id":4125577512,"seq":3352,"gps_valid":1,"heading_valid":0,"lat":37.496128,"lng":126.955673,"speed_mps":0.424,"heading_deg":0.00,"node_risk":0,"tx_ms":355019,"rx_ms":57762,"recv_count":101,"lost_count":452,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177093.588 RX {"type":"cane","node_id":4125577512,"seq":3354,"gps_valid":1,"heading_valid":0,"lat":37.496128,"lng":126.955673,"speed_mps":0.447,"heading_deg":0.00,"node_risk":0,"tx_ms":355227,"rx_ms":57970,"recv_count":102,"lost_count":453,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177094.211 RX {"type":"cane","node_id":4125577512,"seq":3360,"gps_valid":1,"heading_valid":0,"lat":37.496124,"lng":126.955673,"speed_mps":0.508,"heading_deg":0.00,"node_risk":0,"tx_ms":355847,"rx_ms":58592,"recv_count":103,"lost_count":458,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177094.313 RX {"type":"cane","node_id":4125577512,"seq":3361,"gps_valid":1,"heading_valid":0,"lat":37.496120,"lng":126.955673,"speed_mps":0.545,"heading_deg":0.00,"node_risk":0,"tx_ms":355950,"rx_ms":58693,"recv_count":104,"lost_count":458,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177600.613 RX {"type":"cane","node_id":4125577512,"seq":3377,"gps_valid":1,"heading_valid":0,"lat":37.496109,"lng":126.955681,"speed_mps":0.599,"heading_deg":0.00,"node_risk":0,"tx_ms":357594,"rx_ms":60337,"recv_count":105,"lost_count":473,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177600.819 RX {"type":"cane","node_id":4125577512,"seq":3379,"gps_valid":1,"heading_valid":0,"lat":37.496109,"lng":126.955681,"speed_mps":0.599,"heading_deg":0.00,"node_risk":0,"tx_ms":357800,"rx_ms":60543,"recv_count":106,"lost_count":474,"rssi":-88,"src_mac":"30:76:F5:E7:51:28"}
1786177601.235 RX {"type":"cane","node_id":4125577512,"seq":3383,"gps_valid":1,"heading_valid":0,"lat":37.496109,"lng":126.955681,"speed_mps":0.599,"heading_deg":0.00,"node_risk":0,"tx_ms":358212,"rx_ms":60958,"recv_count":107,"lost_count":477,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177601.335 RX {"type":"cane","node_id":4125577512,"seq":3384,"gps_valid":1,"heading_valid":0,"lat":37.496109,"lng":126.955681,"speed_mps":0.599,"heading_deg":0.00,"node_risk":0,"tx_ms":358315,"rx_ms":61059,"recv_count":108,"lost_count":477,"rssi":-60,"src_mac":"30:76:F5:E7:51:28"}
1786177601.437 RX {"type":"cane","node_id":4125577512,"seq":3385,"gps_valid":1,"heading_valid":0,"lat":37.496109,"lng":126.955681,"speed_mps":0.599,"heading_deg":0.00,"node_risk":0,"tx_ms":358418,"rx_ms":61161,"recv_count":109,"lost_count":477,"rssi":-70,"src_mac":"30:76:F5:E7:51:28"}
1786177603.083 RX {"type":"cane","node_id":4125577512,"seq":3401,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":360064,"rx_ms":62807,"recv_count":110,"lost_count":492,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177603.189 RX {"type":"cane","node_id":4125577512,"seq":3402,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":360168,"rx_ms":62913,"recv_count":111,"lost_count":492,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177603.805 RX {"type":"cane","node_id":4125577512,"seq":3408,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":360786,"rx_ms":63529,"recv_count":112,"lost_count":497,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177603.910 RX {"type":"cane","node_id":4125577512,"seq":3409,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":360889,"rx_ms":63632,"recv_count":113,"lost_count":497,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177604.113 RX {"type":"cane","node_id":4125577512,"seq":3411,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":361095,"rx_ms":63838,"recv_count":114,"lost_count":498,"rssi":-67,"src_mac":"30:76:F5:E7:51:28"}
1786177605.663 RX {"type":"cane","node_id":4125577512,"seq":3426,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":362641,"rx_ms":65386,"recv_count":115,"lost_count":512,"rssi":-53,"src_mac":"30:76:F5:E7:51:28"}
1786177606.278 RX {"type":"cane","node_id":4125577512,"seq":3432,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":363256,"rx_ms":66000,"recv_count":116,"lost_count":517,"rssi":-54,"src_mac":"30:76:F5:E7:51:28"}
1786177606.379 RX {"type":"cane","node_id":4125577512,"seq":3433,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":363358,"rx_ms":66103,"recv_count":117,"lost_count":517,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177608.027 RX {"type":"cane","node_id":4125577512,"seq":3449,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":365003,"rx_ms":67751,"recv_count":118,"lost_count":532,"rssi":-52,"src_mac":"30:76:F5:E7:51:28"}
1786177608.229 RX {"type":"cane","node_id":4125577512,"seq":3451,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":365211,"rx_ms":67954,"recv_count":119,"lost_count":533,"rssi":-52,"src_mac":"30:76:F5:E7:51:28"}
1786177608.853 RX {"type":"cane","node_id":4125577512,"seq":3457,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":365830,"rx_ms":68577,"recv_count":120,"lost_count":538,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177608.951 RX {"type":"cane","node_id":4125577512,"seq":3458,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":365932,"rx_ms":68675,"recv_count":121,"lost_count":538,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
