pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786531366.265,2126,0,0,0,0,1,change,0,23.67,0.1,226.05,4.2,0,table,0.0725,table,1,37.496574,126.957573,0.035,0.0,1,0.021,0.0
1786531367.279,2136,0,0,0,0,1,heartbeat,0,23.37,0.24,99.04,4.2,0,table,0.0492,table,1,37.496578,126.957573,0.027,0.0,1,0.021,0.0
1786531368.326,2146,0,0,0,0,1,heartbeat,0,22.88,0.37,61.32,4.2,0,table,0.0725,table,1,37.496582,126.957573,0.049,0.0,1,0.021,0.0
1786531369.373,2156,0,0,0,0,1,heartbeat,0,22.73,0.25,90.7,4.2,0,table,0.0893,table,1,37.496586,126.957581,0.056,0.0,1,0.021,0.0
1786531372.216,2183,1,1,0,0,1,change,0,4.03,-15.97,9999.0,30.0,1,table,0.0001,table,1,37.496593,126.957588,0.041,0.0,1,0.0,0.0
1786531373.232,2193,1,1,1,0,1,heartbeat,0,10.92,-10.97,9999.0,25.0,1,table,0.0001,table,1,37.496597,126.957588,0.048,0.0,1,0.0,0.0
1786531374.269,2203,1,1,1,0,1,heartbeat,0,9.42,-3.03,9999.0,30.0,1,table,0.0001,table,1,37.496601,126.957588,0.025,0.0,1,0.0,0.0
1786531380.201,2260,1,1,0,0,1,heartbeat,0,11.59,-2.31,9999.0,25.0,1,table,0.0003,table,1,37.496609,126.957596,0.038,0.0,1,0.033,0.0
1786531381.221,2270,1,1,1,0,1,heartbeat,0,12.29,-1.39,9999.0,25.0,1,table,0.0012,table,1,37.496609,126.957596,0.037,0.0,1,0.033,0.0
1786531382.272,2280,1,1,1,0,1,heartbeat,0,12.09,-0.43,9999.0,25.0,1,table,0.0001,table,1,37.496609,126.957603,0.05,0.0,1,0.033,0.0
1786531388.201,2337,1,1,0,0,1,heartbeat,0,10.68,0.28,38.71,5.6,0,table,0.0004,table,1,37.496605,126.957619,0.026,0.0,1,0.01,0.0
1786531389.216,2347,1,1,1,0,1,heartbeat,0,10.32,0.35,29.55,5.6,0,table,0.0003,table,1,37.496601,126.957619,0.024,0.0,1,0.01,0.0
1786531395.654,2408,1,1,0,0,1,heartbeat,0,9.21,-0.01,9999.0,30.0,1,table,0.0002,table,1,37.496593,126.957626,0.065,0.0,1,0.021,0.0
1786531396.754,2419,1,1,1,0,1,heartbeat,0,9.03,0.04,234.44,6.6,0,table,0.0013,table,1,37.49659,126.957634,0.031,0.0,1,0.015,0.0
1786531402.661,2475,1,1,0,0,1,heartbeat,0,9.97,-0.45,9999.0,30.0,1,table,0.0001,table,1,37.496574,126.957626,0.025,0.0,1,0.015,0.0
1786531403.672,2485,1,1,1,0,1,heartbeat,0,10.03,-0.21,9999.0,25.0,1,table,0.0001,table,1,37.496571,126.957626,0.033,0.0,1,0.013,0.0
1786531404.71,2495,1,1,1,0,1,heartbeat,0,9.92,-0.02,9999.0,30.0,1,table,0.0003,table,1,37.496571,126.957626,0.057,0.0,1,0.013,0.0
1786531405.763,2505,1,1,1,0,1,heartbeat,0,9.86,0.01,690.8,6.6,0,table,0.0032,table,1,37.496571,126.957626,0.036,0.0,1,0.013,0.0
1786531441.283,2848,2,2,0,0,1,change,0,10.06,0.0,53830.32,7.65,0,table,0.5377,model,1,37.496578,126.957657,0.021,0.0,1,0.0,0.0
1786531442.299,2858,2,2,2,0,1,heartbeat,0,9.8,0.15,65.51,6.93,0,table,0.0975,table,1,37.496574,126.957657,0.016,0.0,1,0.0,0.0
