pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786537966.818,12564,2,2,0,0,1,change,0,7.43,-0.0,9999.0,30.0,1,table,0.5991,model,1,37.496506,126.957489,0.027,0.0,1,0.853,279.16
1786537967.864,12574,2,2,0,0,1,heartbeat,0,6.94,0.53,13.03,19.16,0,table,0.0002,table,1,37.496506,126.957489,0.032,0.0,1,0.811,279.28
1786537968.896,12585,2,2,0,0,1,heartbeat,0,6.32,0.52,12.06,19.16,0,table,0.0001,table,1,37.496506,126.957489,0.025,0.0,1,0.74,281.45
1786537969.758,12594,0,0,0,0,1,change,0,5.94,0.42,14.24,19.16,0,table,0.0021,table,1,37.496506,126.957489,0.028,0.0,1,0.768,279.51
1786537971.002,12604,0,0,0,0,1,heartbeat,0,5.7,0.16,35.11,16.6,0,table,0.0023,table,1,37.496506,126.957489,0.021,0.0,1,0.73,278.68
1786537972.01,12615,0,0,0,0,1,heartbeat,0,5.59,0.04,132.99,16.71,0,table,0.0031,table,1,37.496506,126.957489,0.051,0.0,1,0.834,276.94
1786537972.448,12620,1,1,0,0,1,change,0,5.55,-0.0,9999.0,30.0,1,table,0.0031,table,1,37.496506,126.957489,0.036,0.0,1,0.871,277.38
1786537973.472,12629,1,1,0,0,1,heartbeat,0,5.5,-0.09,9999.0,30.0,1,table,0.0008,table,1,37.496506,126.957489,0.025,0.0,1,0.788,278.72
1786537974.508,12639,1,1,1,0,1,heartbeat,0,5.5,-0.12,9999.0,30.0,1,table,0.0002,table,1,37.49651,126.957489,0.039,0.0,1,0.776,275.5
1786537975.558,12650,1,1,1,0,1,heartbeat,0,5.72,-0.4,9999.0,30.0,1,table,0.0001,table,1,37.49651,126.957497,0.041,0.0,1,0.793,275.39
1786537976.57,12655,1,1,1,0,1,heartbeat,0,6.19,-0.55,9999.0,30.0,1,table,0.0001,table,1,37.49651,126.957497,0.041,0.0,1,0.281,277.03
1786537977.606,12669,1,1,1,0,1,heartbeat,0,6.07,-0.11,9999.0,30.0,1,table,0.0003,table,1,37.49651,126.957497,0.038,0.0,1,0.52,7.17
1786537978.648,12679,1,1,1,0,1,heartbeat,0,5.47,0.28,19.19,31.71,1,table,0.0006,table,1,37.496513,126.957497,0.033,0.0,1,0.52,7.17
1786537979.683,12688,1,1,1,0,1,heartbeat,0,5.29,0.21,25.59,33.0,1,table,0.0009,table,1,37.496513,126.957497,0.022,0.0,1,0.52,7.17
