pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786530846.233,4866,1,1,0,0,1,change,0,2.33,-0.33,9999.0,30.0,1,table,0.0124,table,1,37.496529,126.957542,0.088,0.0,1,0.237,0.0
1786530854.874,4955,1,1,0,0,1,heartbeat,0,5.57,-0.69,9999.0,30.0,1,table,0.0002,table,1,37.496517,126.957535,0.071,0.0,1,0.057,0.0
1786530855.904,4965,1,1,1,0,1,heartbeat,0,5.46,-0.09,9999.0,30.0,1,table,0.0003,table,1,37.496517,126.957535,0.061,0.0,1,0.045,0.0
1786530856.937,4975,1,1,1,0,1,heartbeat,0,6.1,-0.42,9999.0,30.0,1,table,0.001,table,1,37.496517,126.957535,0.113,0.0,1,0.029,0.0
1786530863.722,5039,2,2,0,0,1,change,0,4.73,0.65,7.27,48.0,2,table,0.0312,table,1,37.496555,126.957558,0.106,0.0,1,0.015,0.0
1786530873.256,5131,2,2,0,0,1,heartbeat,0,5.97,-1.87,9999.0,30.0,1,table,0.0005,table,1,37.496582,126.957573,0.034,0.0,1,0.015,0.0
1786530974.41,6116,2,2,0,0,1,heartbeat,0,5.92,0.57,10.44,41.0,1,table,0.5963,model,1,37.496567,126.957565,0.042,0.0,1,0.021,0.0
1786530975.434,6126,2,2,2,0,1,heartbeat,0,5.75,0.27,21.6,33.0,1,table,0.2723,model,1,37.496567,126.957565,0.036,0.0,1,0.021,0.0
1786531033.936,6695,2,2,0,0,1,heartbeat,0,16.73,-0.48,9999.0,25.0,1,table,0.0149,table,1,37.496632,126.957489,0.014,0.0,1,0.093,0.0
1786531034.961,6705,2,2,2,0,1,heartbeat,0,16.83,-0.21,9999.0,25.0,1,table,0.0157,table,1,37.496632,126.957489,0.023,0.0,1,0.04,0.0
1786531035.955,6714,1,1,2,0,1,change,0,17.06,-0.22,9999.0,25.0,1,table,0.0149,table,1,37.496635,126.957489,0.019,0.0,1,0.04,0.0
1786531037.001,6724,1,1,1,0,1,heartbeat,0,17.07,-0.1,9999.0,25.0,1,table,0.0592,table,1,37.496635,126.957489,0.019,0.0,1,0.04,0.0
1786531046.214,6812,1,1,0,0,1,heartbeat,0,24.55,-1.65,9999.0,18.0,0,table,0.0004,table,1,37.496632,126.957489,0.028,0.0,1,0.105,0.0
1786531047.442,6825,1,1,1,0,1,heartbeat,0,25.1,-1.07,9999.0,18.0,0,table,0.0001,table,1,37.496628,126.957489,0.025,0.0,1,0.105,0.0
1786531053.347,6881,2,2,0,0,1,change,0,14.8,4.24,3.49,48.0,2,table,0.9569,table,1,37.496628,126.957497,0.131,0.0,1,0.098,0.0
1786531060.746,6952,2,2,0,0,1,heartbeat,0,12.73,-3.45,9999.0,25.0,1,table,0.0002,table,1,37.496639,126.957504,0.045,0.0,1,0.057,0.0
