pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786575942.537,585,2,2,0,0,1,change,0,4.69,-0.0,9999.0,30.0,0,ttc_capped,0.7932,model,1,37.496582,126.95755,0.041,0.0,1,0.003,241.21
1786575943.558,595,2,2,0,0,1,heartbeat,0,5.55,-0.59,9999.0,30.0,0,ttc_capped,0.0176,table,1,37.496586,126.957542,0.055,0.0,1,0.008,241.21
1786575944.596,605,2,2,2,0,1,heartbeat,0,5.94,-0.44,9999.0,30.0,0,ttc_capped,0.0204,table,1,37.49659,126.957542,0.055,0.0,1,0.01,241.21
1786575944.62,605,0,0,2,0,1,change,0,5.95,-0.44,9999.0,30.0,0,ttc_capped,0.0204,table,1,37.49659,126.957542,0.055,0.0,1,0.01,241.21
1786575945.644,615,0,0,0,0,1,heartbeat,0,6.25,-0.35,9999.0,30.0,0,ttc_capped,0.022,table,1,37.496593,126.957542,0.036,0.0,1,0.007,241.21
1786575946.688,625,0,0,0,0,1,heartbeat,0,6.55,-0.31,9999.0,30.0,0,ttc_capped,0.0002,table,1,37.496593,126.957542,0.022,0.0,1,0.005,241.21
1786575947.732,635,0,0,0,0,1,heartbeat,0,6.58,-0.15,9999.0,30.0,0,ttc_capped,0.0002,table,1,37.496593,126.957542,0.03,0.0,1,0.015,241.21
1786575948.779,645,0,0,0,0,1,heartbeat,0,6.62,-0.11,9999.0,30.0,0,ttc_capped,0.0004,table,1,37.496597,126.957542,0.036,0.0,1,0.009,241.21
1786575949.824,655,0,0,0,0,1,heartbeat,0,6.87,-0.17,9999.0,30.0,0,ttc_capped,0.0002,table,1,37.496597,126.957542,0.031,0.0,1,0.011,241.21
1786575950.837,664,0,0,0,0,1,heartbeat,0,6.91,-0.1,9999.0,30.0,0,ttc_capped,0.0004,table,1,37.496597,126.957542,0.033,0.0,1,0.009,241.21
1786575951.888,674,0,0,0,0,1,heartbeat,0,6.72,0.07,93.36,12.69,0,ttc_capped,0.0019,table,1,37.496597,126.95755,0.031,0.0,1,0.009,241.21
1786575952.229,678,1,1,0,0,1,change,0,6.47,0.23,28.74,20.01,1,table,0.0009,table,1,37.496597,126.95755,0.041,0.0,1,0.01,241.21
1786575953.263,687,1,1,1,0,1,heartbeat,0,5.89,0.41,14.3,33.0,1,table,0.0024,table,1,37.496593,126.95755,0.045,0.0,1,0.016,241.21
1786575954.306,697,1,1,1,0,1,heartbeat,0,5.53,0.35,15.81,33.0,1,table,0.0024,table,1,37.496593,126.95755,0.041,0.0,1,0.014,241.21
1786575955.258,707,2,2,1,0,1,change,0,4.76,0.64,7.42,48.0,2,table,0.073,table,1,37.496582,126.957558,0.074,0.0,1,0.007,241.21
1786575956.302,717,2,2,2,0,1,heartbeat,0,3.32,1.04,3.18,53.0,2,table,0.1291,table,1,37.496571,126.957558,0.055,0.0,1,0.007,241.21
1786575956.717,721,3,3,2,0,1,change,0,2.52,1.26,1.99,63.0,3,safety_floor,0.0405,table,1,37.496567,126.957565,0.04,0.0,1,0.008,241.21
1786575957.762,731,3,3,3,0,1,heartbeat,0,1.51,0.9,1.68,63.0,3,safety_floor,0.0196,table,1,37.496563,126.957565,0.026,0.0,1,0.011,241.21
1786575958.801,741,3,3,3,0,1,heartbeat,0,1.3,0.22,5.81,48.0,2,table,0.0008,table,1,37.496555,126.957565,0.034,0.0,1,0.005,241.21
1786575959.849,751,3,3,3,0,1,heartbeat,0,1.38,-0.08,9999.0,30.0,0,ttc_capped,0.0,table,1,37.496552,126.957565,0.039,0.0,1,0.007,241.21
1786575960.115,753,0,0,3,0,1,change,0,1.4,-0.1,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496552,126.957565,0.056,0.0,1,0.004,241.21
1786575960.474,757,1,1,0,0,1,change,0,1.09,0.05,20.1,33.0,1,table,0.0003,table,1,37.496548,126.957573,0.034,0.0,1,0.005,241.21
1786575961.492,766,1,1,1,0,1,heartbeat,0,1.04,-0.61,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496544,126.957573,0.024,0.0,1,0.004,241.21
1786575962.544,776,1,1,1,0,1,heartbeat,0,1.58,-0.56,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.49654,126.957573,0.033,0.0,1,0.011,241.21
1786575962.869,779,0,0,1,0,1,change,0,1.75,-0.54,9999.0,30.0,0,ttc_capped,0.0,table,1,37.496536,126.957573,0.034,0.0,1,0.017,241.21
1786575963.915,790,0,0,0,0,1,heartbeat,0,2.16,-0.46,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496532,126.957573,0.043,0.0,1,0.01,241.21
1786575964.959,800,0,0,0,0,1,heartbeat,0,2.4,-0.31,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496532,126.957573,0.031,0.0,1,0.006,241.21
1786575966.004,810,0,0,0,0,1,heartbeat,0,2.75,-0.32,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496525,126.957573,0.056,0.0,1,0.007,241.21
1786575967.051,820,0,0,0,0,1,heartbeat,0,3.13,-0.32,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496525,126.957573,0.07,0.0,1,0.002,241.21
1786575968.095,830,0,0,0,0,1,heartbeat,0,3.44,-0.36,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496521,126.957573,0.061,0.0,1,0.005,241.21
1786575969.103,839,0,0,0,0,1,heartbeat,0,3.49,-0.15,9999.0,30.0,0,ttc_capped,0.0001,table,1,37.496521,126.957573,0.07,0.0,1,0.004,241.21
1786575970.155,849,0,0,0,0,1,heartbeat,0,3.15,0.1,31.05,33.0,0,ttc_capped,0.0007,table,1,37.496521,126.957573,0.033,0.0,1,0.008,241.21
1786575970.186,850,1,1,0,0,1,change,0,3.14,0.11,27.85,33.0,1,table,0.0001,table,1,37.496521,126.957573,0.033,0.0,1,0.008,241.21
