ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,risk_level
9000,3600.0,1400.0,3541.56,1444.91,1.2,2.78,73.70306438676762,1.5799999999999998,46.64750910554913,0
9000,3600.0,1400.0,3737.88,1406.34,1.2,6.7,138.02568601532118,5.5,25.095579275512943,0
9000,3600.0,1400.0,3473.21,1593.37,1.2,1.92,231.23075271252296,0.72,321.15382321183745,0
10000,3600.0,1400.0,3757.76,1402.26,1.2,13.17,157.77618704988427,11.97,13.180968007509128,0
10000,3600.0,1400.0,3571.92,1448.35,1.2,10.0,55.91251112228807,8.8,6.353694445714553,0
10000,3600.0,1400.0,3637.22,1298.05,1.2,0.0,108.53170458442084,-1.2,9999.0,0
10000,3600.0,1400.0,3767.44,1213.0,1.2,10.83,251.0082739672141,9.63,26.065241325775087,0
10000,3600.0,1400.0,3639.99,1356.65,1.2,7.39,58.97815358249167,6.19,9.527973115103663,0
10000,3600.0,1400.0,3538.99,1446.86,1.2,9.63,76.92905627914604,8.430000000000001,9.125629451855993,0
10000,3600.0,1400.0,3638.09,1591.33,1.2,5.72,195.08464060504605,4.52,43.160318717930544,0
10000,3600.0,1400.0,3544.68,1448.03,1.2,4.41,73.26106264585584,3.21,22.82276094886475,0
10000,3600.0,1400.0,3728.41,1408.29,1.2,9.75,128.67731812561203,8.55,15.049978728141756,0
10000,3600.0,1400.0,3475.04,1590.58,1.2,3.33,227.8941377043297,2.13,106.99255291283085,0
11000,3600.0,1400.0,3744.97,1404.89,1.2,13.06,145.0524491347869,11.86,12.23039200124679,0
11000,3600.0,1400.0,3568.82,1453.36,1.2,5.89,61.80195789778815,4.69,13.17738974366485,0
11000,3600.0,1400.0,3637.23,1298.16,1.2,0.11,108.43181498065957,-1.09,9999.0,0
11000,3600.0,1400.0,3844.99,1328.51,1.2,0.0,255.20760215949664,-1.2,9999.0,0
11000,3600.0,1400.0,3773.33,1203.52,1.2,11.19,262.0070214707995,9.99,26.226929076156104,0
11000,3600.0,1400.0,3638.57,1347.78,1.2,8.99,64.91974507035603,7.79,8.333728507106038,0
11000,3600.0,1400.0,3532.24,1440.12,1.2,9.53,78.74663167399619,8.33,9.45337715174024,0
11000,3600.0,1400.0,3630.18,1591.73,1.2,7.91,194.0907656226849,6.71,28.925598453455276,0
11000,3600.0,1400.0,3550.01,1453.38,1.2,7.55,73.13292350234599,6.35,11.516995827141102,0
11000,3600.0,1400.0,3717.44,1410.54,1.2,11.34,117.91202313589574,10.14,11.628404648510427,0
11000,3600.0,1400.0,3477.22,1587.28,1.2,3.96,223.9391140466534,2.76,81.13736016183096,0
11000,3600.0,1400.0,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2,9999.0,0
12000,3600.0,1400.0,3733.28,1407.29,1.2,11.96,133.47922122937356,10.760000000000002,12.40513208451427,0
12000,3600.0,1400.0,3567.1,1456.27,1.2,3.39,65.18222840621517,2.1900000000000004,29.76357461471012,0
12000,3600.0,1400.0,3637.38,1300.31,1.2,2.15,106.46765001633136,0.95,112.07121054350671,0
12000,3600.0,1400.0,3846.62,1328.17,1.2,1.67,256.86761823943465,0.47,546.5268473179461,0
12000,3600.0,1400.0,3666.08,1414.19,1.2,0.0,67.5864076571613,-1.2,9999.0,0
12000,3600.0,1400.0,3783.02,1193.97,1.2,13.13,275.58062577039044,11.93,23.09980098662116,0
12000,3600.0,1400.0,3637.51,1341.16,1.2,6.7,69.77926411191225,5.5,12.687138929438591,0
12000,3600.0,1400.0,3524.31,1432.32,1.2,11.13,82.30163121105197,9.93,8.288180383791738,0
12000,3600.0,1400.0,3622.03,1592.15,1.2,8.16,193.4087469583525,6.96,27.788613068728807,0
12000,3600.0,1400.0,3551.95,1455.32,1.2,2.74,73.27417621508965,1.5400000000000005,47.58063390590236,0
12000,3600.0,1400.0,3703.77,1413.35,1.2,14.14,104.62521397827578,12.94,8.085410662927032,0
12000,3600.0,1400.0,3481.07,1581.45,1.2,6.99,216.95263861036577,5.79,37.47023119350013,0
12000,3600.0,1400.0,3472.36,1594.65,1.2,0.39,232.76724877009653,-0.8099999999999999,9999.0,0
13000,3600.0,1400.0,3721.93,1409.62,1.2,11.74,122.30890932389168,10.54,11.60426084666904,0
13000,3600.0,1400.0,3566.54,1459.11,1.2,2.97,67.9232191522162,1.7700000000000002,38.37470008599785,0
