wall_time,age_sec,kind,risk,node_id,raw_or_json
1782982016.458,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25228, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000023, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554444, ""rx_ms"": 2603201, ""recv_count"": 25229, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.479,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11390, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1154592, ""rx_ms"": 2603218, ""recv_count"": 25105, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982016.558,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25229, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000023, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554545, ""rx_ms"": 2603301, ""recv_count"": 25230, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.579,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11391, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1154692, ""rx_ms"": 2603314, ""recv_count"": 25106, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982016.660,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25230, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000023, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554647, ""rx_ms"": 2603403, ""recv_count"": 25231, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.680,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11392, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1154792, ""rx_ms"": 2603415, ""recv_count"": 25107, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982016.762,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25231, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000023, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554748, ""rx_ms"": 2603504, ""recv_count"": 25232, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.782,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11393, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1154894, ""rx_ms"": 2603519, ""recv_count"": 25108, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982016.863,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25232, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000023, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554849, ""rx_ms"": 2603605, ""recv_count"": 25233, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.883,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11394, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1154995, ""rx_ms"": 2603618, ""recv_count"": 25109, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982016.964,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25233, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2554951, ""rx_ms"": 2603707, ""recv_count"": 25234, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982016.985,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11395, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155097, ""rx_ms"": 2603720, ""recv_count"": 25110, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.065,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25234, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555052, ""rx_ms"": 2603808, ""recv_count"": 25235, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.086,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11396, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155198, ""rx_ms"": 2603820, ""recv_count"": 25111, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.167,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25235, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555154, ""rx_ms"": 2603910, ""recv_count"": 25236, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.188,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11397, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155299, ""rx_ms"": 2603922, ""recv_count"": 25112, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.274,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25236, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555255, ""rx_ms"": 2604017, ""recv_count"": 25237, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.294,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11398, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155401, ""rx_ms"": 2604030, ""recv_count"": 25113, ""lost_count"": 117358, ""rssi"": -36, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.369,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25237, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555356, ""rx_ms"": 2604112, ""recv_count"": 25238, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
