"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782797717.079","801.478","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4161","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4161,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021224,""rx_ms"":7158789,""recv_count"":70278,""lost_count"":64956,""rssi"":-35,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.099","801.498","cane","4125577512","","37.0","127.0","0.0","0.0","20532","{""type"":""cane"",""node_id"":4125577512,""seq"":20532,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080235,""rx_ms"":7158802,""recv_count"":39850,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.176","801.575","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4162","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4162,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021325,""rx_ms"":7158886,""recv_count"":70279,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.197","801.596","cane","4125577512","","37.0","127.0","0.0","0.0","20533","{""type"":""cane"",""node_id"":4125577512,""seq"":20533,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080335,""rx_ms"":7158898,""recv_count"":39851,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.287","801.686","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4163","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4163,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021427,""rx_ms"":7158997,""recv_count"":70280,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.308","801.706","cane","4125577512","","37.0","127.0","0.0","0.0","20534","{""type"":""cane"",""node_id"":4125577512,""seq"":20534,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080437,""rx_ms"":7159012,""recv_count"":39852,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.382","801.781","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4164","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4164,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021528,""rx_ms"":7159092,""recv_count"":70281,""lost_count"":64956,""rssi"":-36,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.402","801.801","cane","4125577512","","37.0","127.0","0.0","0.0","20535","{""type"":""cane"",""node_id"":4125577512,""seq"":20535,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080538,""rx_ms"":7159104,""recv_count"":39853,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.489","801.888","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4165","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4165,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021629,""rx_ms"":7159199,""recv_count"":70282,""lost_count"":64956,""rssi"":-35,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.510","801.909","cane","4125577512","","37.0","127.0","0.0","0.0","20536","{""type"":""cane"",""node_id"":4125577512,""seq"":20536,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080638,""rx_ms"":7159212,""recv_count"":39854,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
