wall_time,elapsed_s,gap_s,type,seq,rssi,distance_m,ttc_s,node_risk,computed_risk,vehicle_risk,cane_risk,final_risk,reason,raw
1782982980.956,1.510,0.082,vehicle,34750,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34750, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3518992, ""rx_ms"": 3567734, ""recv_count"": 34751, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982980.976,1.530,0.020,cane,20912,-38,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20912, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2119127, ""rx_ms"": 3567747, ""recv_count"": 34627, ""lost_count"": 117358, ""rssi"": -38, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982981.061,1.615,0.085,vehicle,34751,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34751, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3519094, ""rx_ms"": 3567840, ""recv_count"": 34752, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982981.082,1.636,0.020,cane,20913,-37,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20913, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2119229, ""rx_ms"": 3567852, ""recv_count"": 34628, ""lost_count"": 117358, ""rssi"": -37, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982981.161,1.715,0.079,vehicle,34752,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34752, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3519195, ""rx_ms"": 3567939, ""recv_count"": 34753, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982981.181,1.735,0.020,cane,20914,-40,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20914, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2119330, ""rx_ms"": 3567956, ""recv_count"": 34629, ""lost_count"": 117358, ""rssi"": -40, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982981.263,1.817,0.082,vehicle,34753,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34753, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3519296, ""rx_ms"": 3568041, ""recv_count"": 34754, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982981.283,1.837,0.020,cane,20915,-39,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20915, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2119434, ""rx_ms"": 3568054, ""recv_count"": 34630, ""lost_count"": 117358, ""rssi"": -39, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982981.361,1.915,0.078,vehicle,34754,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34754, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000046, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3519397, ""rx_ms"": 3568139, ""recv_count"": 34755, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982981.381,1.935,0.020,cane,20916,-40,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20916, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2119536, ""rx_ms"": 3568154, ""recv_count"": 34631, ""lost_count"": 117358, ""rssi"": -40, ""src_mac"": ""30:76:F5:E7:51:28""}"
