"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782981072.751","0.032","text","","","","","","","","at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397314,""rx_ms"":1539669,""recv_count"":13959,""lost_count"":1,""rssi"":-32,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981072.845","0.125","cane","4125577512","","37.0","127.0","0.0","0.0","13960","{""type"":""cane"",""node_id"":4125577512,""seq"":13960,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397414,""rx_ms"":1539770,""recv_count"":13960,""lost_count"":1,""rssi"":-35,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981072.944","0.225","cane","4125577512","","37.0","127.0","0.0","0.0","13961","{""type"":""cane"",""node_id"":4125577512,""seq"":13961,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397514,""rx_ms"":1539869,""recv_count"":13961,""lost_count"":1,""rssi"":-35,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.044","0.325","cane","4125577512","","37.0","127.0","0.0","0.0","13962","{""type"":""cane"",""node_id"":4125577512,""seq"":13962,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397614,""rx_ms"":1539969,""recv_count"":13962,""lost_count"":1,""rssi"":-33,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.144","0.425","cane","4125577512","","37.0","127.0","0.0","0.0","13963","{""type"":""cane"",""node_id"":4125577512,""seq"":13963,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397714,""rx_ms"":1540069,""recv_count"":13963,""lost_count"":1,""rssi"":-37,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.244","0.525","cane","4125577512","","37.0","127.0","0.0","0.0","13964","{""type"":""cane"",""node_id"":4125577512,""seq"":13964,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397814,""rx_ms"":1540169,""recv_count"":13964,""lost_count"":1,""rssi"":-33,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.344","0.625","cane","4125577512","","37.0","127.0","0.0","0.0","13965","{""type"":""cane"",""node_id"":4125577512,""seq"":13965,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1397914,""rx_ms"":1540269,""recv_count"":13965,""lost_count"":1,""rssi"":-33,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.449","0.730","cane","4125577512","","37.0","127.0","0.0","0.0","13966","{""type"":""cane"",""node_id"":4125577512,""seq"":13966,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1398014,""rx_ms"":1540374,""recv_count"":13966,""lost_count"":1,""rssi"":-35,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.544","0.825","cane","4125577512","","37.0","127.0","0.0","0.0","13967","{""type"":""cane"",""node_id"":4125577512,""seq"":13967,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1398114,""rx_ms"":1540469,""recv_count"":13967,""lost_count"":1,""rssi"":-34,""src_mac"":""30:76:F5:E7:51:28""}"
"1782981073.644","0.924","cane","4125577512","","37.0","127.0","0.0","0.0","13968","{""type"":""cane"",""node_id"":4125577512,""seq"":13968,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":1398214,""rx_ms"":1540569,""recv_count"":13968,""lost_count"":1,""rssi"":-36,""src_mac"":""30:76:F5:E7:51:28""}"
