rx_wall,node_id,distance_m,closing_mps,ttc_s,risk_level,reason,sent
1782723621.823,2882630492,21.00,8.00,2.62,2,sim ttc<3.0s,
1782723621.925,2882630492,20.50,8.00,2.56,2,sim ttc<3.0s,
1782723622.022,2882630492,20.00,8.00,2.50,2,sim ttc<3.0s,
1782723622.124,2882630492,19.50,8.00,2.44,2,sim ttc<3.0s,
1782723622.222,2882630492,19.00,8.00,2.38,2,sim ttc<3.0s,
1782723622.322,2882630492,18.50,8.00,2.31,2,sim ttc<3.0s,
1782723622.422,2882630492,18.00,8.00,2.25,2,sim ttc<3.0s,
1782723622.522,2882630492,17.50,8.00,2.19,2,sim ttc<3.0s,
1782723622.622,2882630492,17.00,8.00,2.12,2,sim ttc<3.0s,
1782723622.724,2882630492,16.50,8.00,2.06,2,sim ttc<3.0s,
1782723622.822,2882630492,16.00,8.00,2.00,2,sim ttc<3.0s,
1782723622.922,2882630492,15.50,8.00,1.94,2,sim ttc<3.0s,
1782723623.022,2882630492,15.00,8.00,1.88,2,sim ttc<3.0s,
1782723623.122,2882630492,14.50,8.00,1.81,2,sim ttc<3.0s,
1782723623.222,2882630492,14.00,8.00,1.75,2,sim ttc<3.0s,
1782723623.322,2882630492,13.50,8.00,1.69,2,sim ttc<3.0s,
1782723623.425,2882630492,13.00,8.00,1.62,2,sim ttc<3.0s,
1782723623.522,2882630492,12.50,8.00,1.56,2,sim ttc<3.0s,
1782723623.622,2882630492,12.00,8.00,1.50,2,sim ttc<3.0s,
1782723623.722,2882630492,11.50,8.00,1.44,3,sim ttc<1.5s,"{""target_id"": 0, ""risk"": 3}"
1782723623.822,2882630492,11.00,8.00,1.38,3,sim ttc<1.5s,
1782723623.922,2882630492,10.50,8.00,1.31,3,sim ttc<1.5s,
1782723624.022,2882630492,10.00,8.00,1.25,3,sim ttc<1.5s,
1782723624.122,2882630492,9.50,8.00,1.19,3,sim ttc<1.5s,
1782723624.222,2882630492,9.00,8.00,1.12,3,sim ttc<1.5s,
1782723624.322,2882630492,8.50,8.00,1.06,3,sim ttc<1.5s,
1782723624.422,2882630492,8.00,8.00,1.00,3,sim ttc<1.5s,
1782723624.522,2882630492,7.50,8.00,0.94,3,sim ttc<1.5s,
1782723624.622,2882630492,7.00,8.00,0.88,3,sim ttc<1.5s,
1782723624.722,2882630492,6.50,8.00,0.81,3,sim ttc<1.5s,
1782723624.822,2882630492,6.00,8.00,0.75,3,sim ttc<1.5s,
1782723624.922,2882630492,5.50,8.00,0.69,3,sim ttc<1.5s,
1782723625.022,2882630492,5.00,8.00,0.62,3,sim ttc<1.5s,
1782723625.122,2882630492,4.50,8.00,0.56,3,sim ttc<1.5s,
1782723625.222,2882630492,4.00,8.00,0.50,3,sim ttc<1.5s,
1782723625.322,2882630492,3.50,8.00,0.44,3,sim ttc<1.5s,
1782723625.422,2882630492,3.00,8.00,0.38,3,sim ttc<1.5s,
1782723625.522,2882630492,2.50,8.00,0.31,3,sim ttc<1.5s,
1782723625.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723625.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723625.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723625.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.425,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723626.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.023,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.324,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723627.923,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723628.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723629.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.522,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.823,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723630.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.024,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.223,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723631.924,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.524,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723632.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.123,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.422,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.624,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723633.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.322,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.425,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723634.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.423,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.524,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723635.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.323,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723636.922,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723637.923,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723638.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.023,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
