pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1785935280.567,1473,1,1,0,0,1,change,0,13.82,-0.0,9999.0,25.0,1,37.496624,126.958191,0.062,0.0,1,0.058,0.0
1785935281.596,1483,1,1,1,0,1,heartbeat,0,13.82,-0.0,9999.0,25.0,1,37.496624,126.958191,0.094,0.0,1,0.058,0.0
1785935282.63,1493,1,1,1,0,1,heartbeat,0,13.81,-0.0,9999.0,25.0,1,37.496624,126.958191,0.094,0.0,1,0.058,0.0
1785935334.779,1995,1,1,0,0,1,heartbeat,0,9.22,0.34,27.16,6.6,1,37.496616,126.957947,0.195,0.0,1,0.149,0.0
1785935389.828,2526,0,0,0,0,1,change,0,27.86,-0.1,9999.0,18.0,1,37.496681,126.958038,0.091,0.0,1,0.129,0.0
1785935390.851,2536,0,0,0,0,1,heartbeat,0,27.45,0.37,73.44,4.2,1,37.496685,126.958038,0.062,0.0,1,0.093,0.0
1785935391.878,2546,0,0,0,0,1,heartbeat,0,27.89,-0.14,9999.0,18.0,1,37.496689,126.958038,0.052,0.0,1,0.147,0.0
1785935392.924,2556,0,0,0,0,1,heartbeat,0,28.36,-0.33,9999.0,18.0,1,37.496693,126.958046,0.048,0.0,1,0.147,0.0
1785935393.971,2566,0,0,0,0,1,heartbeat,0,28.79,-0.37,9999.0,18.0,1,37.496696,126.958046,0.038,0.0,1,0.1,0.0
1785935395.018,2576,0,0,0,0,1,heartbeat,0,29.09,-0.3,9999.0,18.0,1,37.496696,126.958046,0.028,0.0,1,0.168,0.0
1785935396.062,2586,0,0,0,0,1,heartbeat,0,29.02,-0.07,9999.0,18.0,1,37.496693,126.958046,0.042,0.0,1,0.148,0.0
1785935397.11,2596,0,0,0,0,1,heartbeat,0,28.65,0.16,184.76,12.13,1,37.496693,126.958046,0.041,0.0,1,0.149,0.0
1785935398.166,2606,0,0,0,0,1,heartbeat,0,28.9,-0.06,9999.0,18.0,1,37.496693,126.958038,0.046,0.0,1,0.11,0.0
1785935399.202,2616,0,0,0,0,1,heartbeat,0,28.78,0.02,1223.69,4.2,1,37.496693,126.958031,0.059,0.0,1,0.081,0.0
1785935400.25,2626,0,0,0,0,1,heartbeat,0,29.09,-0.16,9999.0,18.0,1,37.496696,126.958023,0.026,0.0,1,0.089,0.0
1785935401.296,2636,0,0,0,0,1,heartbeat,0,29.27,-0.16,9999.0,18.0,1,37.496696,126.958023,0.023,0.0,1,0.089,0.0
1785935402.342,2646,0,0,0,0,1,heartbeat,0,29.27,-0.07,9999.0,18.0,1,37.496696,126.958023,0.075,0.0,1,0.089,0.0
1785935405.384,2675,1,1,0,0,1,change,0,20.88,5.68,3.68,30.1,1,37.496696,126.958008,0.103,0.0,1,0.0,0.0
