pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1785929581.384,4525,0,0,0,0,1,change,0,26.39,-0.0,9999.0,18.0,1,37.497086,126.957916,0.293,0.0,1,0.438,140.61
1785929582.394,4535,0,0,0,0,1,heartbeat,0,26.96,-0.75,9999.0,18.0,1,37.497082,126.957924,0.213,0.0,1,0.438,140.61
1785929583.429,4545,0,0,0,0,1,heartbeat,0,28.51,-1.24,9999.0,18.0,1,37.497074,126.957939,0.286,0.0,1,0.438,140.61
1785929585.938,4569,0,0,0,0,1,heartbeat,0,30.68,-0.25,9999.0,18.0,1,37.497063,126.95797,0.353,0.0,1,0.36,0.0
1785929586.95,4579,0,0,0,0,1,heartbeat,0,30.32,0.0,6994.9,4.2,1,37.497059,126.957977,0.505,0.0,1,0.36,0.0
1785929587.981,4589,0,0,0,0,1,heartbeat,0,30.52,-0.15,9999.0,18.0,1,37.497055,126.957985,0.419,0.0,1,0.36,0.0
1785929589.015,4599,0,0,0,0,1,heartbeat,0,31.11,-0.37,9999.0,18.0,1,37.497055,126.957985,0.195,0.0,1,0.383,0.0
1785929590.053,4609,0,0,0,0,1,heartbeat,0,31.49,-0.34,9999.0,18.0,1,37.497059,126.957985,0.21,0.0,1,0.383,0.0
1785929591.06,4618,0,0,0,0,1,heartbeat,0,32.8,-0.68,9999.0,18.0,1,37.497063,126.957985,0.243,0.0,1,1.234,132.85
1785929592.108,4628,0,0,0,0,1,heartbeat,0,31.67,0.27,118.15,4.2,1,37.497063,126.957993,0.367,0.0,1,0.527,203.95
1785929593.155,4638,0,0,0,0,1,heartbeat,0,31.94,-0.02,9999.0,18.0,1,37.497063,126.957993,0.191,0.0,1,0.527,203.95
1785929594.191,4649,0,0,0,0,1,heartbeat,0,31.06,0.54,57.04,4.2,1,37.497066,126.957993,0.271,0.0,1,0.723,305.51
1785929595.23,4659,0,0,0,0,1,heartbeat,0,29.31,0.39,74.24,4.2,1,37.497074,126.957993,0.369,0.0,1,0.895,270.15
1785929596.261,4669,0,0,0,0,1,heartbeat,0,29.03,-0.22,9999.0,18.0,1,37.497078,126.957993,0.403,0.0,1,0.928,236.21
1785929597.286,4679,0,0,0,0,1,heartbeat,0,29.95,-0.68,9999.0,18.0,1,37.497074,126.957993,0.345,0.0,1,0.215,236.21
1785929598.313,4689,0,0,0,0,1,heartbeat,0,30.13,-0.38,9999.0,18.0,1,37.497078,126.957993,0.324,0.0,1,0.215,236.21
1785929599.347,4699,0,0,0,0,1,heartbeat,0,30.18,-0.21,9999.0,18.0,1,37.497089,126.957993,0.654,0.0,1,0.215,236.21
1785929600.377,4709,0,0,0,0,1,heartbeat,0,34.03,-3.31,9999.0,18.0,1,37.497105,126.957985,0.873,0.0,1,0.737,81.64
1785929601.393,4718,0,0,0,0,1,heartbeat,0,38.55,-4.17,9999.0,18.0,1,37.497112,126.957977,0.787,0.0,1,0.737,81.64
1785929602.44,4728,0,0,0,0,1,heartbeat,0,38.38,-1.62,9999.0,18.0,1,37.49712,126.957977,0.879,0.0,1,0.817,139.98
1785929603.485,4739,0,0,0,0,1,heartbeat,0,37.67,-0.3,9999.0,18.0,1,37.497166,126.957954,1.812,0.0,1,1.005,112.33
1785929604.522,4749,0,0,0,0,1,heartbeat,0,36.85,-0.14,9999.0,18.0,1,37.497192,126.957939,2.037,0.0,1,1.005,112.33
1785929605.559,4759,0,0,0,0,1,heartbeat,0,36.37,-0.09,9999.0,18.0,1,37.497211,126.957932,1.978,0.0,1,1.005,112.33
1785929606.586,4769,0,0,0,0,1,heartbeat,0,28.63,3.05,9.39,5.8,1,37.497215,126.957932,1.799,0.0,1,0.599,273.92
1785929607.614,4779,0,0,0,0,1,heartbeat,0,25.52,2.19,11.63,5.8,1,37.497192,126.957954,1.327,0.0,1,0.599,273.92
1785929608.626,4788,0,0,0,0,1,heartbeat,0,25.83,0.91,28.53,6.3,1,37.497192,126.95797,1.208,0.0,1,0.599,273.92
1785929608.733,4789,1,1,0,0,1,change,0,26.02,0.69,37.55,21.0,1,37.497192,126.95797,1.208,0.0,1,0.599,273.92
1785929609.774,4800,1,1,1,0,1,heartbeat,0,32.19,-3.99,9999.0,18.0,1,37.497185,126.957977,0.915,0.0,1,0.683,213.66
1785929610.805,4810,1,1,1,0,1,heartbeat,0,35.71,-3.88,9999.0,18.0,1,37.497173,126.957985,0.493,0.0,1,0.683,213.66
1785929610.908,4811,0,0,1,0,1,change,0,35.8,-3.67,9999.0,18.0,1,37.497169,126.957985,0.493,0.0,1,0.683,213.66
