pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1785924475.304,3392,1,1,0,0,1,change,0,8.76,-0.0,9999.0,30.0,1,37.496582,126.957802,0.015,0.0,1,0.0,0.0
1785924476.337,3402,1,1,0,0,1,heartbeat,0,8.16,0.52,15.66,7.07,1,37.496593,126.957809,0.024,0.0,1,0.0,0.0
1785924477.374,3412,1,1,1,0,1,heartbeat,0,6.85,0.59,11.69,13.77,1,37.496613,126.957832,0.025,0.0,1,0.0,0.0
1785924478.415,3422,1,1,1,0,1,heartbeat,0,6.64,-0.17,9999.0,30.0,1,37.496628,126.95784,0.034,0.0,1,0.0,0.0
1785924479.464,3432,1,1,1,0,1,heartbeat,0,7.53,-0.91,9999.0,30.0,1,37.496643,126.957855,0.068,0.0,1,0.0,0.0
1785924601.155,4600,1,1,0,0,1,heartbeat,0,37.98,0.11,332.22,4.2,1,37.496788,126.957771,0.058,0.0,1,0.039,0.0
1785924602.178,4610,1,1,1,0,1,heartbeat,0,37.88,0.11,332.3,4.2,1,37.496792,126.957771,0.055,0.0,1,0.148,0.0
1785924603.219,4620,1,1,1,0,1,heartbeat,0,37.05,0.5,73.87,8.24,1,37.496792,126.957779,0.072,0.0,1,0.166,0.0
1785924604.261,4630,1,1,1,0,1,heartbeat,0,35.14,1.67,21.04,21.0,1,37.496792,126.957794,0.114,60.76,1,0.24,0.0
1785924605.312,4640,1,1,1,0,1,heartbeat,0,32.07,1.98,16.2,9.23,1,37.496788,126.957809,0.149,0.0,1,0.276,0.0
1785924606.341,4650,1,1,1,0,1,heartbeat,0,34.19,-0.4,9999.0,18.0,1,37.496784,126.957832,0.378,0.0,1,0.559,307.21
1785924607.172,4658,0,0,1,0,1,change,0,37.11,-1.99,9999.0,18.0,1,37.49678,126.957848,0.456,0.0,1,0.444,307.21
1785924608.213,4668,0,0,0,0,1,heartbeat,0,39.22,-1.97,9999.0,18.0,1,37.496777,126.957863,0.486,195.18,1,0.398,307.21
1785924609.255,4678,0,0,0,0,1,heartbeat,0,39.52,-0.9,9999.0,18.0,1,37.496773,126.957863,0.316,198.59,1,0.682,39.08
1785924610.297,4688,0,0,0,0,1,heartbeat,0,37.77,0.51,74.7,4.2,1,37.496769,126.957855,0.211,194.54,1,0.877,61.81
1785924611.303,4697,0,0,0,0,1,heartbeat,0,36.77,0.75,49.07,4.2,1,37.496765,126.957848,0.181,187.65,1,0.558,77.34
