ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,risk_level
10000,3600,1400,3569.78,1451.81,1.2,9.58,59.97936728575905,8.38,7.15744239686862,0
10000,3600,1400,3637.22,1298.05,1.2,0.0,108.53170458442084,-1.2,9999.0,0
10000,3600,1400,3774.75,1207.31,1.2,14.47,260.1288115530458,13.27,19.602774043183558,0
10000,3600,1400,3637.52,1341.22,1.2,8.18,69.73405767628897,6.98,9.990552675686098,0
10000,3600,1400,3546.21,1454.09,1.2,11.33,76.28297450938831,10.13,7.530402222052152,0
10000,3600,1400,3627.92,1591.85,1.2,8.62,193.8709594034134,7.419999999999999,26.128161644664882,0
10000,3600,1400,3550.23,1453.6,1.2,6.84,73.14378237417031,5.64,12.96875574010112,0
10000,3600,1400,3733.28,1410.56,1.2,7.65,133.69768883567156,6.45,20.728323850491712,0
10000,3600,1400,3475.37,1590.09,1.2,3.84,227.30342056379175,2.64,86.09978051658778,0
11000,3600,1400,3716.99,1410.63,1.2,17.92,117.4719413306852,16.720000000000002,7.02583381164385,0
11000,3600,1400,3567.14,1456.16,1.2,5.09,65.06708230741576,3.89,16.7267563772277,0
11000,3600,1400,3637.32,1299.39,1.2,1.34,107.30868790549997,0.1400000000000001,766.4906278964278,0
11000,3600,1400,3844.99,1328.51,1.2,0.0,255.20760215949664,-1.2,9999.0,0
11000,3600,1400,3783.39,1193.37,1.2,16.33,276.27495181431124,15.13,18.260076127846084,0
11000,3600,1400,3638.04,1336.63,1.2,4.67,73.91074685050872,3.47,21.299927046256112,0
11000,3600,1400,3536.87,1444.73,1.2,13.22,77.37034186301632,12.02,6.436800487771741,0
11000,3600,1400,3617.2,1592.39,1.2,10.74,193.15732473815237,9.54,20.247099029156434,0
11000,3600,1400,3553.59,1456.96,1.2,4.76,73.47332645252963,3.56,20.638574846216187,0
11000,3600,1400,3723.36,1412.6,1.2,10.0,124.00181288997362,8.8,14.091115101133365,0
11000,3600,1400,3478.33,1585.6,1.2,5.37,221.9255481011593,4.17,53.219555899558586,0
11000,3600,1400,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2,9999.0,0
12000,3600,1400,3697.28,1414.68,1.2,20.39,98.3814047470356,19.19,5.12670165435308,0
12000,3600,1400,3567.2,1460.85,1.2,5.0,69.12714734458525,3.8,18.19135456436454,0
12000,3600,1400,3637.57,1302.78,1.2,3.4,104.22683579577776,2.2,47.37583445262625,0
12000,3600,1400,3846.87,1328.12,1.2,1.92,257.12162744506725,0.72,357.1133714514823,0
12000,3600,1400,3666.08,1414.19,1.2,0.0,67.5864076571613,-1.2,9999.0,0
12000,3600,1400,3793.38,1177.27,1.2,18.88,294.965213711719,17.68,16.68355281174881,0
12000,3600,1400,3641.6,1331.92,1.2,5.99,79.7837477184419,4.79,16.656314763766577,0
12000,3600,1400,3527.24,1435.19,1.2,13.56,80.82297754970449,12.36,6.539075853535962,0
12000,3600,1400,3606.86,1592.72,1.2,10.34,192.8420545420527,9.14,21.098693057117362,0
12000,3600,1400,3554.5,1457.69,1.2,1.18,73.47371026428436,-0.02,9999.0,0
12000,3600,1400,3711.8,1411.7,1.2,11.62,112.41054221023953,10.42,10.787959905013391,0
12000,3600,1400,3482.62,1579.1,1.2,7.8,214.13751282762203,6.6,32.44507770115486,0
12000,3600,1400,3472.94,1593.77,1.2,1.44,231.7133066960117,0.24,965.4721112333821,0
