pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,rssi
1785746202.696,cane,4125577512,20311,1,37.496616,126.95787,0.011,188.05,-65
1785746202.777,cane,4125577512,20312,1,37.496616,126.95787,0.011,188.05,-65
1785746202.914,vehicle,2882630492,30,0,0.0,0.0,0.0,0.0,-90
1785746202.935,cane,4125577512,20313,1,37.496616,126.95787,0.011,188.05,-64
1785746203.029,cane,4125577512,20314,1,37.496616,126.95787,0.011,188.05,-65
1785746203.124,cane,4125577512,20315,1,37.496616,126.95787,0.011,188.05,-65
1785746203.209,cane,4125577512,20316,1,37.496616,126.95787,0.014,188.05,-64
1785746203.326,cane,4125577512,20317,1,37.496616,126.95787,0.016,188.05,-66
1785746203.425,cane,4125577512,20318,1,37.496616,126.95787,0.016,188.05,-65
1785746203.732,cane,4125577512,20321,1,37.496616,126.95787,0.016,188.05,-66
1785746203.815,cane,4125577512,20322,1,37.496616,126.95787,0.016,188.05,-65
1785746203.875,vehicle,2882630492,39,0,0.0,0.0,0.0,0.0,-93
1785746204.331,cane,4125577512,20327,1,37.49662,126.957863,0.013,188.05,-65
1785746204.652,cane,4125577512,20330,1,37.49662,126.957863,0.013,188.05,-65
1785746204.753,cane,4125577512,20331,1,37.49662,126.957863,0.013,188.05,-65
1785746204.816,cane,4125577512,20332,1,37.49662,126.957863,0.013,188.05,-65
1785746205.251,cane,4125577512,20336,1,37.49662,126.957863,0.012,188.05,-65
1785746205.358,cane,4125577512,20337,1,37.49662,126.957863,0.011,188.05,-65
1785746205.470,vehicle,2882630492,55,0,0.0,0.0,0.0,0.0,-91
1785746205.844,cane,4125577512,20342,1,37.49662,126.957863,0.011,188.05,-65
1785746205.933,cane,4125577512,20343,1,37.49662,126.957863,0.011,188.05,-65
1785746206.034,cane,4125577512,20344,1,37.49662,126.957863,0.011,188.05,-65
1785746206.141,cane,4125577512,20345,1,37.49662,126.957863,0.011,188.05,-65
1785746206.264,cane,4125577512,20346,1,37.496624,126.957863,0.013,188.05,-65
1785746206.384,vehicle,2882630492,64,0,0.0,0.0,0.0,0.0,-89
1785746206.878,cane,4125577512,20352,1,37.496624,126.957863,0.014,188.05,-65
1785746207.069,cane,4125577512,20354,1,37.496624,126.957863,0.014,188.05,-65
1785746207.202,cane,4125577512,20355,1,37.496624,126.957863,0.014,188.05,-65
1785746207.299,cane,4125577512,20356,1,37.496624,126.957863,0.016,188.05,-65
1785746207.420,cane,4125577512,20357,1,37.496624,126.957863,0.018,188.05,-65
1785746208.185,cane,4125577512,20365,1,37.496628,126.957863,0.02,188.05,-66
1785746208.502,cane,4125577512,20368,1,37.496628,126.957855,0.022,188.05,-64
1785746208.615,cane,4125577512,20369,1,37.496628,126.957855,0.022,188.05,-64
1785746208.836,cane,4125577512,20371,1,37.496628,126.957855,0.022,188.05,-64
1785746208.887,cane,4125577512,20372,1,37.496628,126.957855,0.022,188.05,-64
1785746209.083,vehicle,2882630492,90,0,0.0,0.0,0.0,0.0,-90
1785746209.327,cane,4125577512,20376,1,37.496628,126.957855,0.02,188.05,-64
1785746210.042,cane,4125577512,20383,1,37.496632,126.957855,0.018,188.05,-65
1785746210.217,cane,4125577512,20385,1,37.496632,126.957855,0.017,188.05,-65
1785746210.338,cane,4125577512,20386,1,37.496632,126.957855,0.017,188.05,-65
1785746210.665,cane,4125577512,20389,1,37.496632,126.957855,0.017,188.05,-65
1785746210.894,cane,4125577512,20391,1,37.496632,126.957855,0.017,188.05,-65
1785746210.941,cane,4125577512,20392,1,37.496632,126.957855,0.017,188.05,-66
1785746211.016,cane,4125577512,20393,1,37.496632,126.957855,0.017,188.05,-65
1785746211.391,cane,4125577512,20396,1,37.496635,126.957855,0.019,188.05,-65
1785746211.460,cane,4125577512,20397,1,37.496635,126.957855,0.019,188.05,-65
1785746211.545,cane,4125577512,20398,1,37.496635,126.957855,0.019,188.05,-65
1785746211.684,cane,4125577512,20399,1,37.496635,126.957855,0.019,188.05,-64
1785746211.713,vehicle,2882630492,116,0,0.0,0.0,0.0,0.0,-90
1785746211.752,cane,4125577512,20400,1,37.496635,126.957855,0.019,188.05,-65
1785746211.811,vehicle,2882630492,117,0,0.0,0.0,0.0,0.0,-88
1785746211.833,cane,4125577512,20401,1,37.496635,126.957855,0.019,188.05,-66
1785746212.168,cane,4125577512,20404,1,37.496635,126.957855,0.019,188.05,-65
1785746212.567,cane,4125577512,20408,1,37.496635,126.957848,0.026,188.05,-65
1785746212.690,cane,4125577512,20409,1,37.496635,126.957848,0.026,188.05,-65
1785746212.727,vehicle,2882630492,126,0,0.0,0.0,0.0,0.0,-90
1785746212.796,cane,4125577512,20410,1,37.496635,126.957848,0.026,188.05,-65
1785746212.861,cane,4125577512,20411,1,37.496635,126.957848,0.026,188.05,-65
1785746213.340,vehicle,2882630492,132,0,0.0,0.0,0.0,0.0,-91
1785746213.507,cane,4125577512,20417,1,37.496639,126.957848,0.02,188.05,-65
1785746213.544,vehicle,2882630492,134,0,0.0,0.0,0.0,0.0,-93
1785746213.566,cane,4125577512,20418,1,37.496639,126.957848,0.02,188.05,-66
1785746213.647,vehicle,2882630492,135,0,0.0,0.0,0.0,0.0,-92
1785746214.000,cane,4125577512,20422,1,37.496639,126.957848,0.02,188.05,-65
1785746214.085,cane,4125577512,20423,1,37.496639,126.957848,0.02,188.05,-65
1785746214.162,vehicle,2882630492,140,0,0.0,0.0,0.0,0.0,-88
1785746214.189,cane,4125577512,20424,1,37.496639,126.957848,0.02,188.05,-65
1785746214.614,cane,4125577512,20428,1,37.496639,126.957848,0.017,188.05,-65
1785746214.793,cane,4125577512,20430,1,37.496639,126.957848,0.017,188.05,-65
1785746214.872,vehicle,2882630492,147,0,0.0,0.0,0.0,0.0,-81
1785746214.973,vehicle,2882630492,148,0,0.0,0.0,0.0,0.0,-83
1785746215.076,vehicle,2882630492,149,0,0.0,0.0,0.0,0.0,-88
1785746215.185,cane,4125577512,20433,1,37.496639,126.957848,0.017,188.05,-65
1785746215.284,cane,4125577512,20435,1,37.496643,126.957848,0.017,188.05,-65
1785746215.499,vehicle,2882630492,153,0,0.0,0.0,0.0,0.0,-82
1785746215.526,cane,4125577512,20437,1,37.496643,126.957848,0.016,188.05,-65
1785746215.607,cane,4125577512,20438,1,37.496643,126.957848,0.016,188.05,-66
1785746215.730,cane,4125577512,20439,1,37.496643,126.957848,0.016,188.05,-65
1785746215.793,vehicle,2882630492,156,0,0.0,0.0,0.0,0.0,-88
1785746216.052,cane,4125577512,20442,1,37.496643,126.957848,0.016,188.05,-65
1785746216.425,cane,4125577512,20446,1,37.496643,126.957848,0.019,188.05,-65
1785746216.508,vehicle,2882630492,163,0,0.0,0.0,0.0,0.0,-87
1785746216.541,cane,4125577512,20447,1,37.496643,126.957848,0.019,188.05,-65
1785746216.638,cane,4125577512,20448,1,37.496643,126.957848,0.019,188.05,-65
1785746216.877,cane,4125577512,20450,1,37.496643,126.957848,0.019,188.05,-66
1785746217.124,vehicle,2882630492,169,0,0.0,0.0,0.0,0.0,-86
1785746217.327,vehicle,2882630492,171,0,0.0,0.0,0.0,0.0,-86
1785746217.768,cane,4125577512,20459,1,37.496647,126.957848,0.02,188.05,-64
1785746218.143,vehicle,2882630492,179,0,0.0,0.0,0.0,0.0,-86
1785746218.242,vehicle,2882630492,180,0,0.0,0.0,0.0,0.0,-86
1785746218.491,cane,4125577512,20466,1,37.496647,126.957848,0.014,188.05,-66
1785746218.752,vehicle,2882630492,185,0,0.0,0.0,0.0,0.0,-84
1785746218.957,vehicle,2882630492,187,0,0.0,0.0,0.0,0.0,-87
1785746218.990,cane,4125577512,20471,1,37.496647,126.957848,0.014,188.05,-65
1785746219.159,vehicle,2882630492,189,0,0.0,0.0,0.0,0.0,-86
1785746219.568,vehicle,2882630492,193,0,0.0,0.0,0.0,0.0,-85
1785746219.815,cane,4125577512,20479,1,37.496647,126.95784,0.018,188.05,-65
1785746219.914,cane,4125577512,20480,1,37.496647,126.95784,0.018,188.05,-65
1785746219.977,vehicle,2882630492,197,0,0.0,0.0,0.0,0.0,-88
1785746220.496,cane,4125577512,20486,1,37.496647,126.95784,0.019,188.05,-65
1785746220.697,vehicle,2882630492,204,0,0.0,0.0,0.0,0.0,-86
1785746220.800,vehicle,2882630492,205,0,0.0,0.0,0.0,0.0,-89
1785746220.901,vehicle,2882630492,206,0,0.0,0.0,0.0,0.0,-87
1785746220.998,vehicle,2882630492,207,0,0.0,0.0,0.0,0.0,-88
1785746221.111,cane,4125577512,20492,1,37.496647,126.95784,0.019,188.05,-64
1785746221.206,vehicle,2882630492,209,0,0.0,0.0,0.0,0.0,-87
1785746221.265,cane,4125577512,20493,1,37.496647,126.95784,0.016,188.05,-65
1785746221.400,cane,4125577512,20494,1,37.496647,126.95784,0.014,188.05,-65
1785746221.481,cane,4125577512,20495,1,37.496647,126.95784,0.014,188.05,-66
1785746221.512,vehicle,2882630492,212,0,0.0,0.0,0.0,0.0,-88
1785746221.615,vehicle,2882630492,213,0,0.0,0.0,0.0,0.0,-82
1785746221.662,cane,4125577512,20496,1,37.496647,126.95784,0.014,188.05,-65
1785746221.717,vehicle,2882630492,214,0,0.0,0.0,0.0,0.0,-84
1785746221.822,vehicle,2882630492,215,0,0.0,0.0,0.0,0.0,-92
1785746221.923,vehicle,2882630492,216,0,0.0,0.0,0.0,0.0,-88
1785746222.328,vehicle,2882630492,220,0,0.0,0.0,0.0,0.0,-89
1785746222.379,cane,4125577512,20504,1,37.496647,126.95784,0.012,188.05,-66
1785746222.534,vehicle,2882630492,222,0,0.0,0.0,0.0,0.0,-87
1785746222.841,vehicle,2882630492,225,0,0.0,0.0,0.0,0.0,-83
1785746222.942,vehicle,2882630492,226,0,0.0,0.0,0.0,0.0,-86
1785746223.145,vehicle,2882630492,228,0,0.0,0.0,0.0,0.0,-90
1785746223.244,vehicle,2882630492,229,0,0.0,0.0,0.0,0.0,-86
1785746223.455,vehicle,2882630492,231,0,0.0,0.0,0.0,0.0,-92
1785746223.540,cane,4125577512,20516,1,37.496647,126.957848,0.005,188.05,-65
1785746223.961,vehicle,2882630492,236,0,0.0,0.0,0.0,0.0,-88
1785746224.066,vehicle,2882630492,237,0,0.0,0.0,0.0,0.0,-84
1785746224.473,vehicle,2882630492,241,0,0.0,0.0,0.0,0.0,-85
1785746224.562,cane,4125577512,20526,1,37.496647,126.957848,0.002,188.05,-65
1785746224.669,cane,4125577512,20527,1,37.496647,126.957848,0.002,188.05,-66
1785746224.780,vehicle,2882630492,244,0,0.0,0.0,0.0,0.0,-84
1785746224.802,cane,4125577512,20528,1,37.496647,126.957848,0.002,188.05,-65
1785746225.083,cane,4125577512,20531,1,37.496647,126.957848,0.002,188.05,-66
1785746225.182,cane,4125577512,20532,1,37.496647,126.957848,0.003,188.05,-65
1785746225.293,vehicle,2882630492,249,0,0.0,0.0,0.0,0.0,-81
1785746225.370,cane,4125577512,20533,1,37.496647,126.957848,0.003,188.05,-66
1785746225.392,cane,4125577512,20534,1,37.496643,126.957848,0.004,188.05,-65
1785746225.449,vehicle,2882630492,250,0,0.0,0.0,0.0,0.0,-81
1785746225.498,vehicle,2882630492,251,0,0.0,0.0,0.0,0.0,-82
1785746225.585,cane,4125577512,20535,1,37.496643,126.957848,0.004,188.05,-65
1785746225.607,vehicle,2882630492,252,0,0.0,0.0,0.0,0.0,-80
1785746225.708,vehicle,2882630492,253,0,0.0,0.0,0.0,0.0,-81
1785746225.801,vehicle,2882630492,254,0,0.0,0.0,0.0,0.0,-78
1785746225.904,vehicle,2882630492,255,0,0.0,0.0,0.0,0.0,-87
1785746226.109,vehicle,2882630492,257,0,0.0,0.0,0.0,0.0,-81
1785746226.210,vehicle,2882630492,258,0,0.0,0.0,0.0,0.0,-82
1785746226.299,cane,4125577512,20542,1,37.496643,126.957848,0.003,188.05,-65
1785746226.321,vehicle,2882630492,259,0,0.0,0.0,0.0,0.0,-82
1785746226.418,vehicle,2882630492,260,0,0.0,0.0,0.0,0.0,-79
