pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,rssi
1785746333.659,cane,4125577512,21597,1,37.496655,126.957886,0.007,188.05,-63
1785746333.717,cane,4125577512,21598,1,37.496655,126.957886,0.007,188.05,-64
1785746333.738,vehicle,2882630492,1305,1,37.496334,126.957985,0.017,188.27,-85
1785746333.819,vehicle,2882630492,1306,1,37.496334,126.957985,0.017,188.27,-84
1785746333.839,cane,4125577512,21599,1,37.496655,126.957886,0.007,188.05,-63
1785746333.929,cane,4125577512,21600,1,37.496655,126.957886,0.007,188.05,-63
1785746334.023,vehicle,2882630492,1308,1,37.496334,126.957985,0.017,188.27,-80
1785746334.043,cane,4125577512,21601,1,37.496655,126.957886,0.007,188.05,-63
1785746334.139,vehicle,2882630492,1309,1,37.496334,126.957985,0.017,188.27,-80
1785746334.159,cane,4125577512,21602,1,37.496655,126.957886,0.007,188.05,-63
1785746334.227,vehicle,2882630492,1310,1,37.496334,126.957985,0.017,188.27,-85
1785746334.247,cane,4125577512,21603,1,37.496655,126.957886,0.008,188.05,-63
1785746334.327,cane,4125577512,21604,1,37.496655,126.957886,0.009,188.05,-63
1785746334.347,vehicle,2882630492,1311,1,37.496334,126.957985,0.009,188.27,-84
1785746334.429,cane,4125577512,21605,1,37.496655,126.957886,0.009,188.05,-63
1785746334.532,cane,4125577512,21606,1,37.496655,126.957886,0.009,188.05,-64
1785746334.551,vehicle,2882630492,1313,1,37.496334,126.957985,0.004,188.27,-85
1785746334.641,cane,4125577512,21607,1,37.496655,126.957886,0.009,188.05,-64
1785746334.662,vehicle,2882630492,1314,1,37.496334,126.957985,0.004,188.27,-81
1785746334.729,cane,4125577512,21608,1,37.496655,126.957886,0.009,188.05,-63
1785746334.757,vehicle,2882630492,1315,1,37.496334,126.957985,0.004,188.27,-84
1785746334.833,cane,4125577512,21609,1,37.496655,126.957886,0.009,188.05,-63
1785746334.859,vehicle,2882630492,1316,1,37.496334,126.957985,0.004,188.27,-86
1785746334.939,cane,4125577512,21610,1,37.496655,126.957886,0.009,188.05,-63
1785746334.965,vehicle,2882630492,1317,1,37.496334,126.957985,0.004,188.27,-84
1785746335.039,cane,4125577512,21611,1,37.496655,126.957886,0.009,188.05,-63
1785746335.145,cane,4125577512,21612,1,37.496655,126.957886,0.009,188.05,-63
1785746335.245,cane,4125577512,21613,1,37.496651,126.957886,0.009,188.05,-64
1785746335.347,cane,4125577512,21614,1,37.496651,126.957886,0.01,188.05,-63
1785746335.393,vehicle,2882630492,1321,1,37.496334,126.957985,0.002,188.27,-88
1785746335.457,cane,4125577512,21615,1,37.496651,126.957893,0.01,188.05,-63
1785746335.543,cane,4125577512,21616,1,37.496651,126.957893,0.01,188.05,-63
1785746335.657,cane,4125577512,21617,1,37.496651,126.957893,0.01,188.05,-64
1785746335.747,cane,4125577512,21618,1,37.496651,126.957893,0.01,188.05,-63
1785746335.849,cane,4125577512,21619,1,37.496651,126.957893,0.01,188.05,-63
1785746335.971,cane,4125577512,21620,1,37.496651,126.957893,0.01,188.05,-62
1785746336.029,vehicle,2882630492,1327,1,37.496334,126.957985,0.001,188.27,-84
1785746336.121,vehicle,2882630492,1328,1,37.496334,126.957985,0.001,188.27,-89
1785746336.141,cane,4125577512,21621,1,37.496651,126.957893,0.01,188.05,-63
1785746336.179,cane,4125577512,21622,1,37.496651,126.957893,0.01,188.05,-63
1785746336.281,cane,4125577512,21623,1,37.496651,126.957893,0.006,188.05,-63
1785746336.391,cane,4125577512,21624,1,37.496651,126.957893,0.004,188.05,-63
1785746336.419,vehicle,2882630492,1331,1,37.496338,126.957977,0.049,188.27,-82
1785746336.471,cane,4125577512,21625,1,37.496651,126.957893,0.004,188.05,-63
1785746336.605,cane,4125577512,21626,1,37.496651,126.957893,0.004,188.05,-64
1785746336.727,vehicle,2882630492,1334,1,37.496338,126.957977,0.049,188.27,-89
1785746336.747,cane,4125577512,21627,1,37.496651,126.957893,0.004,188.05,-63
1785746336.791,cane,4125577512,21628,1,37.496651,126.957893,0.004,188.05,-63
1785746336.827,vehicle,2882630492,1335,1,37.496338,126.957977,0.049,188.27,-87
1785746336.929,vehicle,2882630492,1336,1,37.496338,126.957977,0.049,188.27,-87
1785746336.977,cane,4125577512,21629,1,37.496651,126.957893,0.004,188.05,-63
1785746336.997,cane,4125577512,21630,1,37.496651,126.957893,0.004,188.05,-64
