pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787642935.873,13522,0,0,0,0,1,change,0,4.92,0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497353,126.958557,0.539,113.17,0.0,4.92,uwb_only
1787642936.075,13523,0,0,0,0,1,heartbeat,0,4.91,0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497353,126.958557,0.539,113.17,0.0,4.91,uwb_only
1787642936.281,13525,0,0,0,0,1,heartbeat,0,4.91,0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497349,126.958542,0.614,113.17,0.0,4.91,uwb_only
1787642936.492,13527,0,0,0,0,1,heartbeat,0,4.91,0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497345,126.958542,0.614,113.17,0.0,4.91,uwb_only
1787642936.702,13529,0,0,0,0,1,heartbeat,0,4.91,0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497345,126.958542,0.614,113.17,0.0,4.91,uwb_only
1787642936.91,13531,0,0,0,0,1,heartbeat,0,4.91,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497345,126.958542,0.614,113.17,0.0,4.91,uwb_only
1787642937.121,13533,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497345,126.958542,0.614,113.17,0.0,4.92,uwb_only
1787642937.336,13535,0,0,0,0,1,heartbeat,0,4.92,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497334,126.958527,0.842,113.17,0.0,4.92,uwb_only
1787642937.547,13537,0,0,0,0,1,heartbeat,0,4.92,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497334,126.958527,0.842,113.17,0.0,4.92,uwb_only
1787642937.748,13539,0,0,0,0,1,heartbeat,0,4.92,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497334,126.958527,0.842,113.17,0.0,4.92,uwb_only
1787642937.957,13541,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.49733,126.958527,0.842,113.17,0.0,4.92,uwb_only
1787642938.223,13544,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.49733,126.958527,0.842,113.17,0.0,4.92,uwb_only
1787642938.44,13546,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497322,126.958519,0.9,113.17,0.0,4.92,uwb_only
1787642938.653,13548,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497322,126.958527,0.9,113.17,0.0,4.92,uwb_only
1787642938.876,13550,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497322,126.958527,0.9,113.17,0.0,4.92,uwb_only
1787642939.084,13552,0,0,0,0,1,heartbeat,0,4.92,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497318,126.958527,0.9,113.17,0.0,4.92,uwb_only
1787642939.295,13554,0,0,0,0,1,heartbeat,0,4.93,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497318,126.958527,0.9,113.17,0.0,4.93,uwb_only
1787642939.517,13556,0,0,0,0,1,heartbeat,0,4.92,-0.0,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497318,126.958527,0.9,113.17,0.0,4.92,uwb_only
