pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787642298.869,7568,0,0,0,0,1,change,0,0.33,-0.03,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497196,126.958572,0.871,338.58,0.0,0.33,uwb_only
1787642299.08,7569,0,0,0,0,1,heartbeat,0,0.34,-0.03,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497196,126.958572,0.871,338.58,0.0,0.34,uwb_only
1787642299.296,7571,0,0,0,0,1,heartbeat,0,0.34,-0.02,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497192,126.958588,0.919,338.58,0.0,0.34,uwb_only
1787642299.498,7573,0,0,0,0,1,heartbeat,0,0.33,-0.01,9999.0,30.0,0,ttc_capped,,table,0,0.0,0.0,0.0,0.0,1,37.497192,126.958588,0.919,338.58,0.0,0.33,uwb_only
1787642299.71,7575,2,2,0,0,1,change,0,0.32,0.01,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497192,126.958588,0.919,338.58,0.0,0.32,uwb_only
1787642299.92,7577,2,2,2,2,1,heartbeat,0,0.31,0.02,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497196,126.958588,0.919,338.58,0.0,0.31,uwb_only
1787642300.132,7579,2,2,2,2,1,heartbeat,0,0.31,0.02,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497196,126.958588,0.919,338.58,0.0,0.31,uwb_only
1787642300.332,7581,2,2,2,2,1,heartbeat,0,0.31,0.01,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497185,126.958595,0.786,338.58,0.0,0.31,uwb_only
1787642300.543,7583,2,2,2,2,1,heartbeat,0,0.31,0.01,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497185,126.958595,0.786,338.58,0.0,0.31,uwb_only
1787642300.752,7585,2,2,2,2,1,heartbeat,0,0.31,0.01,9999.0,30.0,2,near_floor,,table,0,0.0,0.0,0.0,0.0,1,37.497189,126.958595,0.786,338.58,0.0,0.31,uwb_only
