pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786956138.664,1261,0,0,0,0,1,change,0,159.41,-0.0,9999.0,0.0,0,ttc_capped,0.0007,table,1,37.495617,126.957825,0.108,106.17,1,37.496799,126.957748,0.023,92.57,-12.84,158.9
1786956138.874,1263,0,0,0,0,1,heartbeat,0,159.12,0.0,2259498.43,0.6,0,ttc_capped,0.0004,table,1,37.495621,126.957825,0.117,106.17,1,37.496799,126.957748,0.032,92.57,-12.84,158.6
1786956139.084,1265,0,0,0,0,1,heartbeat,0,158.88,0.0,460223.0,0.6,0,ttc_capped,0.0004,table,1,37.495628,126.957817,0.114,106.17,1,37.496799,126.957748,0.042,92.57,-12.56,158.38
1786956139.286,1267,0,0,0,0,1,heartbeat,0,158.49,0.0,223681.87,0.6,0,ttc_capped,0.0005,table,1,37.49564,126.957825,0.124,106.17,1,37.496799,126.957748,0.049,92.57,-12.54,157.99
1786956139.492,1269,0,0,0,0,1,heartbeat,0,157.9,0.0,113393.27,0.6,0,ttc_capped,0.0003,table,1,37.495659,126.957832,0.144,106.17,1,37.496799,126.957748,0.04,92.57,-12.67,157.39
1786956139.694,1271,0,0,0,0,1,heartbeat,0,157.33,0.0,117299.72,0.6,0,ttc_capped,0.0005,table,1,37.495659,126.957832,0.144,106.17,1,37.496799,126.957748,0.038,92.57,-12.82,156.81
1786956139.902,1273,0,0,0,0,1,heartbeat,0,156.91,0.0,119351.33,0.6,0,ttc_capped,0.0004,table,1,37.495663,126.957832,0.144,107.92,1,37.496799,126.957748,0.027,92.57,-12.91,156.38
1786956140.112,1275,0,0,0,0,1,heartbeat,0,156.57,0.0,131169.85,0.6,0,ttc_capped,0.0004,table,1,37.495663,126.957832,0.144,107.15,1,37.496799,126.957748,0.026,92.57,-12.99,156.03
1786956140.318,1277,0,0,0,0,1,heartbeat,0,156.31,0.0,149004.93,0.6,0,ttc_capped,0.0004,table,1,37.495663,126.957832,0.144,106.58,1,37.496799,126.957748,0.023,92.57,-13.04,155.76
1786956140.538,1279,0,0,0,0,1,heartbeat,0,156.1,0.0,163102.6,0.6,0,ttc_capped,0.0004,table,1,37.495663,126.957832,0.144,106.58,1,37.496799,126.957748,0.03,92.57,-13.09,155.55
1786956140.742,1281,0,0,0,0,1,heartbeat,0,155.89,0.0,147817.57,0.6,0,ttc_capped,0.0004,table,1,37.495667,126.957832,0.144,107.03,1,37.496799,126.957748,0.033,92.57,-13.12,155.34
