pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786956169.393,1552,0,0,0,0,1,change,0,50.69,-0.0,9999.0,10.0,0,ttc_capped,0.0243,table,1,37.4963,126.957909,0.274,0.0,1,37.496742,126.957771,0.032,92.57,-12.19,49.2
1786956169.605,1554,0,0,0,0,1,heartbeat,0,50.69,-0.0,9999.0,10.0,0,ttc_capped,0.0243,table,1,37.4963,126.957909,0.272,0.0,1,37.496742,126.957771,0.034,92.57,-12.19,49.2
1786956169.811,1556,0,0,0,0,1,heartbeat,0,50.69,-0.0,9999.0,10.0,0,ttc_capped,0.0243,table,1,37.4963,126.957909,0.27,0.0,1,37.496742,126.957771,0.032,92.57,-12.19,49.2
1786956170.07,1559,0,0,0,0,1,heartbeat,0,50.53,0.0,351847.19,2.6,0,ttc_capped,0.018,table,1,37.496304,126.957909,0.266,0.0,1,37.496742,126.957771,0.029,92.57,-12.19,49.04
1786956170.282,1561,0,0,0,0,1,heartbeat,0,50.41,0.1,498.36,2.6,0,ttc_capped,0.001,table,1,37.496304,126.957909,0.263,0.0,1,37.496742,126.957779,0.033,92.57,-11.91,48.98
1786956170.492,1563,0,0,0,0,1,heartbeat,0,50.24,0.17,300.8,2.6,0,ttc_capped,0.001,table,1,37.496307,126.957909,0.261,0.0,1,37.496742,126.957779,0.032,92.57,-11.57,48.89
1786956170.702,1565,0,0,0,0,1,heartbeat,0,50.14,0.17,297.15,2.6,0,ttc_capped,0.001,table,1,37.496307,126.957909,0.258,0.0,1,37.496742,126.957779,0.034,92.57,-11.41,48.82
1786956170.918,1567,0,0,0,0,1,heartbeat,0,50.07,0.15,326.76,2.6,0,ttc_capped,0.001,table,1,37.496307,126.957909,0.254,0.0,1,37.496742,126.957779,0.038,92.57,-11.31,48.77
1786956171.127,1569,0,0,0,0,1,heartbeat,0,50.02,0.13,374.67,2.6,0,ttc_capped,0.001,table,1,37.496307,126.957909,0.257,0.0,1,37.496742,126.957779,0.039,92.57,-11.27,48.73
1786956171.338,1570,0,0,0,0,1,heartbeat,0,49.83,0.24,208.6,2.6,0,ttc_capped,0.0009,table,1,37.496311,126.957909,0.264,0.0,1,37.496738,126.957779,0.043,92.57,-11.3,48.53
1786956171.543,1572,0,0,0,0,1,heartbeat,0,49.64,0.29,170.26,2.6,0,ttc_capped,0.0008,table,1,37.496311,126.957909,0.271,0.0,1,37.496738,126.957779,0.045,92.57,-11.29,48.34
1786956171.748,1574,0,0,0,0,1,heartbeat,0,49.49,0.31,159.95,2.6,0,ttc_capped,0.0009,table,1,37.496315,126.957909,0.271,0.0,1,37.496738,126.957779,0.045,92.57,-11.29,48.18
1786956171.951,1576,0,0,0,0,1,heartbeat,0,49.35,0.31,161.16,2.6,0,ttc_capped,0.0009,table,1,37.496315,126.957909,0.272,0.0,1,37.496738,126.957779,0.036,92.57,-11.3,48.04
1786956172.158,1578,0,0,0,0,1,heartbeat,0,49.22,0.29,169.61,2.6,0,ttc_capped,0.0013,table,1,37.496319,126.957909,0.269,0.0,1,37.496738,126.957779,0.026,92.57,-11.31,47.91
1786956172.398,1581,0,0,0,0,1,heartbeat,0,49.05,0.27,183.8,2.6,0,ttc_capped,0.0011,table,1,37.496319,126.957901,0.275,0.0,1,37.496738,126.957779,0.031,92.57,-11.29,47.74
1786956172.604,1583,0,0,0,0,1,heartbeat,0,48.93,0.24,204.65,2.6,0,ttc_capped,0.0011,table,1,37.496323,126.957901,0.279,0.0,1,37.496738,126.957779,0.031,92.57,-11.29,47.61
1786956172.818,1585,0,0,0,0,1,heartbeat,0,48.73,0.28,176.02,2.6,0,ttc_capped,0.002,table,1,37.496323,126.957901,0.273,0.0,1,37.496735,126.957779,0.033,92.57,-11.27,47.41
1786956173.028,1587,0,0,0,0,1,heartbeat,0,48.55,0.29,166.05,12.96,0,ttc_capped,0.0014,table,1,37.496326,126.957901,0.275,0.0,1,37.496735,126.957779,0.03,92.57,-11.25,47.23
1786956173.236,1589,0,0,0,0,1,heartbeat,0,48.4,0.29,166.21,13.0,0,ttc_capped,0.0016,table,1,37.496326,126.957901,0.274,0.0,1,37.496735,126.957779,0.028,92.57,-11.24,47.08
1786956173.448,1591,0,0,0,0,1,heartbeat,0,48.27,0.28,173.79,8.01,0,ttc_capped,0.0024,table,1,37.496326,126.957901,0.27,0.0,1,37.496735,126.957779,0.027,92.57,-11.22,46.95
1786956173.659,1593,0,0,0,0,1,heartbeat,0,48.17,0.26,188.28,2.6,0,ttc_capped,0.0024,table,1,37.496326,126.957901,0.264,0.0,1,37.496735,126.957779,0.026,92.57,-11.21,46.84
1786956173.87,1595,0,0,0,0,1,heartbeat,0,48.02,0.26,182.52,2.6,0,ttc_capped,0.0019,table,1,37.49633,126.957893,0.252,0.0,1,37.496735,126.957787,0.021,92.57,-10.98,46.75
1786956174.084,1597,0,0,0,0,1,heartbeat,0,47.81,0.31,156.52,2.6,0,ttc_capped,0.0019,table,1,37.49633,126.957893,0.252,0.0,1,37.496731,126.957787,0.023,92.57,-10.76,46.59
1786956174.293,1599,0,0,0,0,1,heartbeat,0,47.58,0.36,130.39,2.6,0,ttc_capped,0.0019,table,1,37.49633,126.957893,0.25,0.0,1,37.496731,126.957787,0.03,92.57,-10.58,46.39
1786956174.506,1601,0,0,0,0,1,heartbeat,0,47.39,0.39,121.06,2.6,0,ttc_capped,0.0019,table,1,37.49633,126.957893,0.253,0.0,1,37.496731,126.957787,0.028,92.57,-10.43,46.23
1786956174.711,1602,0,0,0,0,1,heartbeat,0,47.27,0.39,121.43,2.6,0,ttc_capped,0.0019,table,1,37.49633,126.957893,0.258,0.0,1,37.496731,126.957787,0.034,92.57,-10.34,46.13
1786956174.916,1604,0,0,0,0,1,heartbeat,0,47.14,0.37,127.94,2.6,0,ttc_capped,0.0019,table,1,37.496334,126.957886,0.258,0.0,1,37.496731,126.957787,0.033,92.57,-10.24,46.02
1786956175.119,1606,0,0,0,0,1,heartbeat,0,47.02,0.34,139.3,2.6,0,ttc_capped,0.0019,table,1,37.496334,126.957886,0.256,0.0,1,37.496731,126.957787,0.039,92.57,-10.15,45.91
1786956175.32,1608,0,0,0,0,1,heartbeat,0,46.92,0.3,155.92,2.6,0,ttc_capped,0.0018,table,1,37.496334,126.957886,0.254,0.0,1,37.496731,126.957787,0.04,92.57,-10.07,45.83
1786956175.521,1610,0,0,0,0,1,heartbeat,0,46.71,0.35,132.65,2.6,0,ttc_capped,0.0016,table,1,37.496338,126.957886,0.257,0.0,1,37.496727,126.957787,0.046,92.57,-10.01,45.63
1786956175.729,1612,0,0,0,0,1,heartbeat,0,46.53,0.37,124.24,2.6,0,ttc_capped,0.0016,table,1,37.496338,126.957886,0.255,0.0,1,37.496727,126.957787,0.046,92.57,-9.96,45.45
1786956175.931,1614,0,0,0,0,1,heartbeat,0,46.37,0.37,123.65,2.6,0,ttc_capped,0.0017,table,1,37.496338,126.957886,0.247,0.0,1,37.496727,126.957787,0.041,92.57,-9.92,45.3
1786956176.135,1616,0,0,0,0,1,heartbeat,0,46.23,0.36,128.56,3.67,0,ttc_capped,0.0022,table,1,37.496342,126.957886,0.242,0.0,1,37.496727,126.957787,0.046,92.57,-9.88,45.16
1786956176.335,1618,0,0,0,0,1,heartbeat,0,46.11,0.33,138.32,9.02,0,ttc_capped,0.0019,table,1,37.496342,126.957886,0.238,0.0,1,37.496727,126.957787,0.049,92.57,-9.85,45.05
1786956176.549,1620,0,0,0,0,1,heartbeat,0,46.01,0.3,153.6,13.0,0,ttc_capped,0.0018,table,1,37.496342,126.957886,0.227,0.0,1,37.496727,126.957787,0.048,92.57,-9.83,44.94
1786956176.758,1622,0,0,0,0,1,heartbeat,0,45.78,0.35,129.67,12.69,0,ttc_capped,0.002,table,1,37.496346,126.957886,0.219,0.0,1,37.496723,126.957787,0.044,92.57,-9.8,44.72
1786956176.96,1624,0,0,0,0,1,heartbeat,0,45.6,0.38,121.09,7.09,0,ttc_capped,0.0024,table,1,37.496346,126.957886,0.211,0.0,1,37.496723,126.957787,0.045,92.57,-9.78,44.53
1786956177.166,1626,0,0,0,0,1,heartbeat,0,45.42,0.38,120.25,3.52,0,ttc_capped,0.0024,table,1,37.496349,126.957878,0.213,0.0,1,37.496723,126.957787,0.041,92.57,-9.74,44.37
